App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 20, 2018 @ 07:40:49 PM","55 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
0,310000,1,34,2,4,3,1209600,3,1209600,7,0,8,1209600,8,1209600,
100,310000,101,34,103,63,103,1209600,104,1209600,110,62,112,1209600,112,1209600,
201,310000,201,48,203,82,203,1209600,204,1209600,209,82,209,1209600,210,1209600,
301,310000,301,48,302,19,303,1209600,303,1209600,307,18,307,1209600,307,1209600,
401,310000,402,48,403,33,404,1209600,404,1209600,409,34,409,1209600,410,1209600,
502,310000,502,48,503,12,504,1209600,504,1209600,508,12,509,1209600,509,1209600,
602,310000,603,48,604,20,604,1209600,604,1209600,609,20,609,1209600,609,1209600,
702,310000,703,48,704,25,704,1209600,705,1209600,710,27,710,1209600,711,1209600,
803,310000,803,48,805,23,805,1209600,806,1209600,811,23,811,1209600,812,1209600,
903,310000,904,48,905,12,906,1209600,906,1209600,912,15,913,1209600,913,1209600,
1004,310000,1004,48,1005,15,1006,1209600,1006,1209600,1012,12,1012,1209600,1012,1209600,
1104,310000,1105,48,1112,20,1113,1209600,1113,1209600,1122,18,1122,1209600,1123,1209600,
1204,310000,1205,48,1206,27,1206,1209600,1207,1209600,1212,26,1213,1209600,1213,1209600,
1304,200000,1305,38,1306,25,1307,1209600,1307,1209600,1314,24,1314,1209600,1315,1209600,
1405,200000,1406,38,1407,14,1407,1209600,1407,1209600,1413,14,1413,1209600,1414,1209600,
1505,200000,1506,38,1507,12,1508,1209600,1508,1209600,1514,11,1514,1209600,1515,1209600,
1606,200000,1606,38,1607,7,1608,1209600,1608,1209600,1614,9,1614,1209600,1614,1209600,
1706,200000,1707,38,1708,22,1708,1209600,1708,1209600,1718,21,1719,1209600,1719,1209600,
1756,200000,1757,38,1758,15,1758,1209600,1758,1209600,1762,15,1763,1209600,1763,1209600,
1856,200000,1857,38,1858,15,1858,1209600,1859,1209600,1862,15,1863,1209600,1863,1209600,
1957,200000,1957,38,1958,12,1959,1209600,1959,1209600,1963,13,1963,1209600,1963,1209600,
2057,200000,2059,38,2060,12,2061,1209600,2062,1209600,2067,12,2068,1209600,2068,1209600,
2157,200000,2158,38,2159,12,2159,1209600,2160,1209600,2163,11,2164,1209600,2164,1209600,
2258,200000,2259,38,2260,13,2260,1209600,2261,1209600,2267,13,2267,1209600,2267,1209600,
2359,200000,2359,40,2360,12,2360,1209600,2361,1209600,2364,11,2365,1209600,2365,1209600,
2459,200000,2459,40,2460,7,2461,1209600,2461,1209600,2465,8,2465,1209600,2465,1209600,
2559,200000,2560,40,2560,10,2561,1209600,2561,1209600,2565,10,2565,1209600,2566,1209600,
2659,200000,2660,40,2661,10,2661,1209600,2661,1209600,2665,12,2666,1209600,2666,1209600,
2760,200000,2760,40,2761,12,2761,1209600,2762,1209600,2766,12,2767,1209600,2767,1209600,
2860,200000,2860,40,2861,12,2862,1209600,2862,1209600,2866,10,2867,1209600,2867,1209600,
2960,200000,2961,40,2962,5,2962,1209600,2962,1209600,2967,5,2968,1209600,2968,1209600,
3061,200000,3062,40,3064,12,3064,800000,3065,800000,3072,11,3073,800000,3073,800000,
3162,200000,3163,40,3164,20,3164,998400,3165,998400,3171,15,3172,998400,3172,998400,
3263,200000,3264,41,3265,23,3266,998400,3267,998400,3273,18,3273,998400,3273,998400,
3366,200000,3370,41,3375,38,3378,998400,3378,998400,3385,30,3385,1152000,3386,1152000,
3466,200000,3467,41,3468,17,3468,1094400,3469,1094400,3474,14,3474,1094400,3475,1094400,
3567,200000,3567,41,3569,21,3569,998400,3569,998400,3575,15,3576,998400,3576,998400,
3667,200000,3668,41,3670,15,3670,998400,3670,998400,3676,12,3676,998400,3677,998400,
3768,200000,3769,41,3770,17,3770,998400,3771,998400,3775,13,3776,998400,3776,998400,
3869,200000,3870,41,3871,20,3871,998400,3871,998400,3876,16,3876,998400,3877,998400,
3970,200000,3971,41,3972,19,3972,800000,3973,800000,3978,15,3979,800000,3980,800000,
4071,200000,4072,41,4073,15,4074,998400,4074,998400,4080,9,4081,998400,4081,998400,
4172,200000,4173,41,4174,21,4174,998400,4174,998400,4179,17,4180,998400,4181,998400,
4273,200000,4273,45,4274,22,4275,1209600,4275,1209600,4279,22,4279,1209600,4280,1209600,
4374,200000,4375,45,4377,21,4377,998400,4378,998400,4384,15,4384,1209600,4384,1209600,
4475,200000,4476,45,4477,10,4478,998400,4478,998400,4484,10,4484,998400,4485,998400,
4576,200000,4577,45,4578,17,4578,998400,4579,998400,4584,13,4585,1209600,4585,1209600,
4677,200000,4678,45,4679,12,4679,1209600,4679,1209600,4684,13,4684,1209600,4685,1209600,
4778,200000,4779,45,4780,12,4780,1209600,4782,1209600,4786,12,4787,1209600,4787,1209600,
4879,200000,4880,45,4881,7,4882,1209600,4882,1209600,4886,8,4887,1209600,4887,1209600,
4984,200000,4984,45,4986,17,4986,998400,4987,998400,4992,14,4993,998400,4993,998400,
5084,200000,5085,45,5086,19,5087,1094400,5087,1094400,5095,16,5095,1094400,5096,1094400,
5185,200000,5185,45,5186,24,5187,1209600,5187,1209600,5191,22,5192,1209600,5192,1209600,
5285,200000,5286,43,5287,10,5288,998400,5288,998400,5293,11,5293,998400,5293,998400,
5386,200000,5387,43,5388,19,5389,998400,5389,998400,5394,14,5394,998400,5395,998400,
5487,200000,5488,43,5489,17,5490,1094400,5490,1094400,5495,13,5496,1094400,5496,1094400,
5588,200000,5589,43,5590,15,5590,998400,5590,998400,5595,13,5596,998400,5596,998400,
5688,200000,5689,43,5690,17,5691,1209600,5691,1209600,5695,16,5696,1209600,5696,1209600,
5790,200000,5791,43,5792,17,5793,998400,5793,998400,5799,13,5800,998400,5800,998400,
5890,200000,5891,43,5893,56,5894,998400,5894,998400,5905,42,5906,1209600,5906,1209600,
5992,200000,5992,43,5993,65,5994,1209600,5994,1209600,6001,65,6001,1209600,6002,1209600,
6092,200000,6093,43,6094,32,6094,1209600,6094,1209600,6099,32,6099,1209600,6100,1209600,
6193,200000,6194,43,6195,19,6196,998400,6196,998400,6201,18,6202,998400,6202,998400,
6294,200000,6294,40,6295,15,6296,1209600,6296,1209600,6300,10,6301,1209600,6301,1209600,
6395,200000,6396,40,6397,17,6398,998400,6398,998400,6404,16,6404,998400,6405,998400,
6496,200000,6498,40,6500,17,6501,800000,6501,800000,6508,13,6508,800000,6509,800000,
6597,200000,6598,40,6599,26,6600,998400,6600,998400,6606,20,6606,998400,6606,998400,
6698,200000,6699,40,6701,27,6701,998400,6702,998400,6707,22,6708,998400,6708,998400,
6798,200000,6799,40,6800,21,6800,1094400,6801,1094400,6807,17,6809,1094400,6809,1094400,
6900,310000,6900,40,6902,38,6902,1209600,6902,1209600,6906,39,6907,1209600,6907,1209600,
7000,310000,7000,40,7002,23,7002,1209600,7002,1209600,7007,23,7008,1209600,7009,1209600,
7101,310000,7102,40,7103,38,7104,1209600,7104,1209600,7111,32,7112,1209600,7112,1209600,
7201,310000,7202,40,7203,33,7203,1209600,7204,1209600,7208,33,7211,1209600,7211,1209600,
7302,310000,7303,54,7305,26,7305,998400,7306,998400,7315,26,7316,998400,7316,998400,
7403,310000,7404,54,7405,43,7406,998400,7407,998400,7417,35,7418,998400,7418,998400,
7503,310000,7504,54,7506,24,7506,998400,7507,998400,7513,17,7513,998400,7513,998400,
7605,310000,7606,54,7607,34,7608,1209600,7609,1209600,7616,31,7616,1209600,7616,1209600,
7706,310000,7707,54,7708,35,7708,1209600,7708,1209600,7713,34,7713,1209600,7714,1209600,
7807,310000,7808,54,7809,50,7809,1152000,7810,1152000,7816,43,7817,1152000,7817,1152000,
7908,310000,7908,54,7910,33,7910,1209600,7911,1209600,7918,33,7919,1209600,7920,1209600,
8008,310000,8009,54,8010,27,8010,1209600,8011,1209600,8017,26,8017,1209600,8018,1209600,
8109,310000,8110,54,8111,35,8112,1209600,8112,1209600,8119,34,8120,1209600,8120,1209600,
8210,310000,8211,54,8212,30,8213,998400,8213,998400,8227,24,8227,998400,8228,998400,
8311,310000,8312,54,8313,36,8313,1209600,8313,1209600,8319,32,8320,1209600,8320,1209600,
8412,310000,8413,55,8414,42,8414,998400,8415,998400,8421,34,8422,998400,8423,998400,
8513,310000,8513,55,8515,27,8516,1209600,8516,1209600,8522,27,8522,1209600,8523,1209600,
8613,310000,8614,55,8616,32,8616,1209600,8616,1209600,8621,30,8622,1209600,8622,1209600,
8714,400000,8715,55,8717,23,8717,1209600,8718,1209600,8726,26,8726,1209600,8727,1209600,
8816,400000,8817,55,8819,50,8819,1209600,8819,1209600,8824,45,8824,1209600,8825,1209600,
8917,400000,8918,55,8920,48,8920,1209600,8920,1209600,8926,45,8927,1209600,8927,1209600,
9019,400000,9020,55,9021,41,9022,1209600,9022,1209600,9028,39,9029,1209600,9030,1209600,
9120,400000,9121,55,9122,30,9123,1209600,9124,1209600,9129,32,9129,1209600,9130,1209600,
9221,400000,9221,55,9223,48,9224,1209600,9224,1209600,9230,46,9232,1209600,9232,1209600,
9321,400000,9323,55,9325,34,9326,1152000,9326,1152000,9332,33,9332,1152000,9333,1152000,
9422,310000,9423,55,9424,50,9424,1209600,9425,1209600,9431,49,9431,1209600,9431,1209600,
9523,310000,9524,55,9525,36,9526,1209600,9526,1209600,9533,35,9533,1209600,9533,1209600,
9624,310000,9624,55,9629,28,9630,1209600,9630,1209600,9636,30,9637,1209600,9637,1209600,
9725,310000,9726,55,9729,35,9730,998400,9730,998400,9737,26,9737,998400,9738,998400,
9826,310000,9827,55,9830,46,9832,998400,9833,998400,9839,32,9840,998400,9840,998400,
9926,310000,9927,55,9929,27,9929,1209600,9930,1209600,9935,26,9935,1209600,9936,1209600,
10026,310000,10027,55,10029,46,10030,1209600,10031,1209600,10037,44,10038,1209600,10038,1209600,
10127,310000,10128,55,10129,30,10129,1209600,10130,1209600,10135,28,10136,1209600,10136,1209600,
10227,310000,10228,55,10230,25,10230,1152000,10232,1152000,10237,24,10238,1152000,10239,1152000,
10328,310000,10329,59,10333,64,10333,1209600,10334,1209600,10341,64,10341,1209600,10342,1209600,
10429,310000,10430,59,10433,58,10433,1209600,10434,1209600,10439,57,10439,1209600,10439,1209600,
10531,310000,10532,59,10533,26,10533,1209600,10534,1209600,10538,26,10538,1209600,10539,1209600,
10631,310000,10632,59,10633,36,10634,1209600,10634,1209600,10638,36,10638,1209600,10639,1209600,
10731,310000,10732,59,10733,21,10734,1209600,10734,1209600,10738,20,10738,1209600,10739,1209600,
10832,310000,10833,59,10834,32,10835,1152000,10835,1152000,10840,28,10840,1152000,10841,1152000,
10933,310000,10933,59,10934,23,10935,1209600,10935,1209600,10939,24,10940,1209600,10940,1209600,
11033,310000,11034,59,11035,30,11036,1209600,11036,1209600,11040,27,11041,1209600,11041,1209600,
11134,310000,11135,59,11136,28,11137,998400,11137,998400,11142,26,11143,998400,11143,998400,
11234,310000,11236,59,11237,37,11237,1152000,11238,1152000,11253,29,11253,1152000,11253,1152000,
11335,310000,11336,57,11337,45,11337,1209600,11338,1209600,11342,43,11343,1209600,11343,1209600,
11436,310000,11437,57,11438,23,11438,1152000,11439,1152000,11443,22,11444,998400,11444,998400,
11537,310000,11538,57,11539,28,11539,998400,11540,998400,11545,23,11545,998400,11546,998400,
11638,310000,11639,57,11640,28,11640,1094400,11641,1094400,11652,24,11652,1094400,11653,1094400,
11739,310000,11739,57,11740,28,11741,1209600,11741,1209600,11746,25,11746,1209600,11747,1209600,
11840,310000,11840,57,11842,19,11842,1209600,11843,1209600,11846,19,11849,1209600,11849,1209600,
11940,310000,11941,57,11942,22,11943,1152000,11943,1152000,11947,21,11947,1152000,11948,1152000,
12041,310000,12044,57,12046,40,12047,1209600,12047,1209600,12058,39,12059,1209600,12059,1209600,
12142,310000,12143,57,12144,41,12144,1209600,12144,1209600,12152,40,12153,1209600,12154,1209600,
12243,310000,12244,57,12245,29,12246,1209600,12246,1209600,12252,29,12252,1209600,12252,1209600,
