"","Sensitivity","Specificity","Pos Pred Value","Neg Pred Value","Precision","Recall","F1","Prevalence","Detection Rate","Detection Prevalence","Balanced Accuracy"
"Class: Animations/visuals/styles",0.715596330275229,0.952710495963091,0.655462184873949,0.963827304550758,0.65546218487395,0.715596330275229,0.684210526315789,0.111680327868852,0.0799180327868853,0.121926229508197,0.83415341311916
"Class: Building/Development/IDE",0.778443113772455,0.929542645241038,0.695187165775401,0.953105196451204,0.695187165775401,0.778443113772455,0.734463276836158,0.171106557377049,0.133196721311475,0.191598360655738,0.853992879506747
"Class: Camera",0.909090909090909,0.989637305699482,0.499999999999999,0.998953974895398,0.5,0.909090909090909,0.645161290322581,0.0112704918032787,0.0102459016393443,0.0204918032786885,0.949364107395196
"Class: Components",0.452830188679245,0.971830985915493,0.48,0.968682505399568,0.48,0.452830188679245,0.466019417475728,0.0543032786885246,0.0245901639344262,0.0512295081967213,0.712330587297369
"Class: Debugging",0.517241379310345,0.982048574445618,0.46875,0.985169491525424,0.46875,0.517241379310345,0.491803278688525,0.0297131147540984,0.0153688524590164,0.0327868852459016,0.749644976877981
"Class: External/OS Services",0.39622641509434,0.979414951245937,0.525,0.965811965811966,0.525,0.39622641509434,0.451612903225806,0.0543032786885246,0.021516393442623,0.040983606557377,0.687820683170138
"Class: Filesystems / Database",0.458333333333333,0.984243697478992,0.423076923076922,0.986315789473684,0.423076923076923,0.458333333333333,0.44,0.0245901639344262,0.0112704918032787,0.0266393442622951,0.721288515406162
"Class: Firebase/Expo",0.757575757575758,0.979851537645811,0.568181818181818,0.991416309012875,0.568181818181818,0.757575757575758,0.649350649350649,0.0338114754098361,0.0256147540983607,0.0450819672131148,0.868713647610784
"Class: FlatList/ListView/ScrollView",0.793650793650794,0.976998904709748,0.704225352112676,0.985635359116022,0.704225352112676,0.793650793650794,0.746268656716418,0.0645491803278689,0.0512295081967213,0.0727459016393443,0.885324849180271
"Class: JS syntax / general programming",0.341772151898734,0.962095875139353,0.442622950819672,0.943169398907104,0.442622950819672,0.341772151898734,0.385714285714286,0.0809426229508197,0.0276639344262295,0.0625,0.651934013519044
"Class: Libraries/API",0.208333333333333,0.990546218487395,0.357142857142858,0.98024948024948,0.357142857142857,0.208333333333333,0.263157894736842,0.0245901639344262,0.00512295081967213,0.014344262295082,0.599439775910364
"Class: Navigation",0.8,0.972073039742213,0.580645161290323,0.990153172866521,0.580645161290323,0.8,0.672897196261682,0.0461065573770492,0.0368852459016393,0.0635245901639344,0.886036519871106
"Class: Network",0.68,0.979481641468683,0.641509433962265,0.982665222101842,0.641509433962264,0.68,0.660194174757282,0.0512295081967213,0.0348360655737705,0.0543032786885246,0.829740820734341
"Class: Redux",0.666666666666667,0.984391259105099,0.4,0.994742376445846,0.4,0.666666666666667,0.5,0.0153688524590164,0.0102459016393443,0.0256147540983607,0.825528962885883
"Class: Router/Flux",1,0.990712074303406,0.4375,1,0.4375,1,0.608695652173913,0.00717213114754098,0.00717213114754098,0.0163934426229508,0.995356037151703
"Class: State",0.428571428571429,0.993623804463337,0.714285714285714,0.979057591623037,0.714285714285714,0.428571428571429,0.535714285714286,0.0358606557377049,0.0153688524590164,0.021516393442623,0.711097616517383
"Class: UI elements/Views",0.448275862068966,0.968712394705174,0.714285714285714,0.909604519774011,0.714285714285714,0.448275862068966,0.550847457627119,0.148565573770492,0.0665983606557377,0.0932377049180328,0.70849412838707
"Class: VCS/NPM",0.470588235294118,0.991657977059437,0.5,0.990625,0.5,0.470588235294118,0.484848484848485,0.0174180327868852,0.00819672131147541,0.0163934426229508,0.731123106176777
"Class: Webview",1,0.988529718456726,0.607142857142857,1,0.607142857142857,1,0.755555555555555,0.0174180327868852,0.0174180327868852,0.0286885245901639,0.994264859228363
