App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 20, 2018 @ 06:50:52 PM","43 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
0,1209600,3,1209600,3,1209600,3,1209600,
101,1209600,101,1209600,101,1209600,102,1209600,
204,1209600,205,1209600,205,1209600,207,1209600,
303,1209600,303,1209600,304,1209600,304,1209600,
403,1209600,404,1209600,404,1209600,404,1209600,
504,1209600,504,1209600,504,1209600,505,1209600,
604,1209600,604,1209600,605,1209600,605,1209600,
704,1209600,705,1209600,705,1209600,705,1209600,
805,1209600,805,1209600,805,1209600,806,1209600,
905,1209600,905,1209600,906,1209600,906,1209600,
1005,1209600,1006,1209600,1006,1209600,1006,1209600,
1106,1209600,1106,1209600,1106,1209600,1107,1209600,
1206,1209600,1206,1209600,1207,1209600,1207,1209600,
1306,1209600,1307,1209600,1307,1209600,1307,1209600,
1407,1209600,1407,1209600,1407,1209600,1407,1209600,
1507,1209600,1508,1209600,1508,1209600,1508,1209600,
1607,1209600,1607,1209600,1608,1209600,1608,1209600,
1707,1209600,1708,1209600,1708,1209600,1708,1209600,
1808,1209600,1808,1209600,1808,1209600,1809,1209600,
1908,1209600,1908,1209600,1909,1209600,1909,1209600,
2008,1209600,2009,1209600,2009,1209600,2009,1209600,
2109,1209600,2109,1209600,2109,1209600,2109,1209600,
2209,1209600,2209,1209600,2210,1209600,2210,1209600,
2310,1209600,2310,1209600,2310,1209600,2311,1209600,
2410,1209600,2410,1209600,2411,1209600,2411,1209600,
2510,1209600,2511,1209600,2511,1209600,2511,1209600,
2610,1209600,2611,1209600,2612,1209600,2612,1209600,
2711,1209600,2711,1209600,2711,1209600,2712,1209600,
2811,1209600,2812,1209600,2812,1209600,2812,1209600,
2911,1209600,2912,1209600,2913,1209600,2914,1209600,
3012,1209600,3012,1209600,3013,1209600,3014,1209600,
3113,998400,3113,998400,3114,998400,3114,998400,
3215,1209600,3216,1209600,3216,1209600,3218,1209600,
3315,1209600,3315,1209600,3316,1209600,3316,1209600,
3416,998400,3417,998400,3417,998400,3420,1152000,
3516,998400,3517,998400,3517,998400,3517,998400,
3618,998400,3618,998400,3619,998400,3620,998400,
3720,998400,3721,998400,3721,998400,3721,998400,
3821,998400,3822,998400,3822,998400,3822,998400,
3922,1209600,3922,1209600,3922,1209600,3922,1209600,
4022,1152000,4023,1152000,4023,1152000,4023,1152000,
4123,998400,4124,998400,4124,998400,4124,998400,
4224,998400,4224,998400,4225,998400,4225,998400,
4324,1209600,4325,1209600,4325,1209600,4325,1209600,
4425,998400,4426,998400,4426,998400,4427,998400,
4528,800000,4529,800000,4530,800000,4531,800000,
4628,998400,4629,998400,4629,998400,4629,998400,
4729,998400,4730,998400,4731,998400,4731,998400,
4831,998400,4832,998400,4832,998400,4833,998400,
4931,998400,4932,998400,4932,998400,4932,998400,
5032,998400,5033,998400,5034,998400,5035,998400,
5133,1209600,5134,1209600,5134,1209600,5134,1209600,
5234,998400,5234,1209600,5235,1209600,5235,1209600,
5335,1209600,5335,1209600,5336,1209600,5337,1209600,
5436,998400,5436,998400,5437,998400,5438,998400,
5540,998400,5541,998400,5542,998400,5542,998400,
5641,1209600,5641,1209600,5642,1209600,5643,1209600,
5742,1094400,5743,1094400,5743,1094400,5743,1094400,
5842,1209600,5842,1209600,5843,1209600,5843,1209600,
5944,998400,5944,998400,5953,998400,5955,1094400,
6044,1209600,6044,1209600,6045,1209600,6045,1209600,
6146,998400,6147,998400,6148,998400,6149,998400,
6247,1209600,6247,1209600,6248,1209600,6248,1209600,
6348,998400,6349,998400,6351,998400,6352,998400,
6454,998400,6454,998400,6455,998400,6455,998400,
6549,1209600,6550,1209600,6550,1209600,6550,1209600,
6650,1209600,6650,1209600,6651,1209600,6651,1209600,
6751,1094400,6751,1094400,6751,1094400,6752,1094400,
6853,800000,6855,800000,6855,998400,6856,998400,
6953,1209600,6956,1209600,6956,1209600,6957,1209600,
7054,1209600,7055,1209600,7055,1209600,7056,1209600,
7155,1209600,7155,1209600,7156,1209600,7156,1209600,
7256,998400,7257,998400,7257,998400,7258,998400,
7356,1209600,7357,1209600,7357,1209600,7358,1209600,
7457,1209600,7458,1209600,7458,1209600,7459,1209600,
7558,1209600,7558,1209600,7559,1209600,7559,1209600,
7658,1209600,7659,1209600,7659,1209600,7659,1209600,
7759,998400,7759,998400,7760,998400,7760,998400,
7860,1209600,7860,1209600,7861,1209600,7861,1209600,
7961,998400,7961,998400,7962,998400,7962,998400,
8063,1209600,8065,1209600,8065,1209600,8066,1209600,
8163,1152000,8164,1152000,8165,1152000,8166,1152000,
8263,998400,8264,998400,8265,998400,8265,998400,
8364,998400,8365,998400,8366,998400,8367,998400,
8467,1209600,8468,1209600,8468,1209600,8469,1209600,
8569,1209600,8569,1209600,8570,1209600,8570,1209600,
8670,1209600,8670,1209600,8670,1209600,8671,1209600,
8770,1209600,8771,1209600,8771,1209600,8772,1209600,
8871,1209600,8871,1209600,8872,1209600,8872,1209600,
8972,1209600,8972,1209600,8972,1209600,8973,1209600,
9074,998400,9075,998400,9075,998400,9076,998400,
9174,800000,9175,998400,9176,998400,9176,998400,
9276,1209600,9277,1209600,9277,1209600,9277,1209600,
9376,1209600,9376,1209600,9377,1209600,9377,1209600,
9477,998400,9478,998400,9478,998400,9479,998400,
9577,1152000,9578,1152000,9578,1152000,9578,1152000,
9678,1152000,9679,1152000,9679,1152000,9679,1152000,
9779,1209600,9780,1209600,9780,1209600,9781,1209600,
9880,1209600,9881,1209600,9881,1209600,9882,1209600,
9981,1209600,9982,1209600,9982,1209600,9982,1209600,
10083,1209600,10083,1209600,10086,1209600,10086,1209600,
10184,1209600,10184,1209600,10185,1209600,10185,1209600,
10285,1094400,10286,1094400,10286,1094400,10287,1094400,
10386,998400,10387,998400,10387,998400,10389,998400,
10487,800000,10489,800000,10497,998400,10498,998400,
10587,998400,10588,998400,10588,998400,10589,998400,
10688,1209600,10689,1209600,10689,1209600,10690,1209600,
10789,998400,10791,998400,10792,998400,10792,998400,
10890,1209600,10891,1209600,10891,1209600,10892,1209600,
10991,998400,10991,998400,10995,1209600,10996,1209600,
11091,998400,11092,998400,11092,998400,11093,998400,
11142,1209600,11142,1209600,11142,1209600,11143,1209600,
11243,998400,11243,998400,11243,998400,11244,998400,
11343,998400,11343,998400,11344,998400,11344,998400,
11444,1209600,11444,1209600,11445,1209600,11445,1209600,
11545,1209600,11545,998400,11546,998400,11547,998400,
11645,1152000,11646,1152000,11646,1152000,11646,1152000,
11747,1209600,11748,1209600,11748,1209600,11748,1209600,
11848,1209600,11850,1209600,11851,1209600,11851,1209600,
11950,1209600,11951,1209600,11951,1209600,11951,1209600,
12051,1094400,12052,1094400,12052,1094400,12052,1094400,
12152,998400,12152,998400,12153,998400,12153,998400,
12253,998400,12253,998400,12254,998400,12254,998400,
12354,998400,12354,998400,12355,998400,12356,998400,
12454,1152000,12454,1152000,12454,1152000,12455,1152000,
12554,1209600,12555,1209600,12555,1209600,12555,1209600,
12655,998400,12656,998400,12656,998400,12656,998400,
12756,1152000,12757,1152000,12757,1152000,12757,1152000,
12859,800000,12860,800000,12860,800000,12860,800000,
12960,998400,12961,998400,12961,998400,12961,998400,
13061,1152000,13062,1152000,13062,1152000,13062,1152000,
13162,998400,13163,998400,13164,998400,13164,998400,
13263,998400,13265,998400,13267,998400,13268,998400,
13364,1094400,13364,1094400,13365,1094400,13365,1094400,
13464,1209600,13464,1209600,13465,1209600,13465,1209600,
13565,1209600,13565,1209600,13565,1209600,13566,1209600,
13665,1209600,13665,1209600,13666,1209600,13666,1209600,
13765,1209600,13766,1209600,13766,1209600,13766,1209600,
13866,1209600,13866,1209600,13867,1209600,13867,1209600,
13966,1209600,13967,1209600,13967,1209600,13967,1209600,
14067,1209600,14068,1209600,14068,1209600,14069,1209600,
14168,998400,14168,998400,14168,998400,14168,998400,
14268,998400,14269,998400,14269,998400,14269,998400,
14369,998400,14369,998400,14370,998400,14370,998400,
14470,998400,14471,998400,14471,998400,14472,998400,
14571,1209600,14571,1209600,14572,1209600,14572,1209600,
14672,1209600,14672,1209600,14672,1209600,14673,1209600,
14772,1209600,14773,1209600,14773,1209600,14773,1209600,
14873,1209600,14873,1209600,14873,1209600,14874,1209600,
14973,1209600,14974,1209600,14974,1209600,14974,1209600,
15073,1209600,15074,1209600,15074,1209600,15074,1209600,
15174,1209600,15175,1209600,15175,1209600,15175,1209600,
15274,1209600,15275,1209600,15275,1209600,15275,1209600,
15375,1209600,15375,1209600,15375,1209600,15376,1209600,
15475,1209600,15476,1209600,15476,1209600,15476,1209600,
15576,1209600,15577,1209600,15577,1209600,15577,1209600,
15678,1209600,15678,1209600,15678,1209600,15679,1209600,
15778,1209600,15778,1209600,15779,1209600,15779,1209600,
15878,1209600,15879,1209600,15879,1209600,15879,1209600,
15978,1209600,15979,1209600,15979,1209600,15980,1209600,
16079,1209600,16079,1209600,16079,1209600,16080,1209600,
16179,1209600,16180,1209600,16180,1209600,16180,1209600,
16280,1209600,16280,1209600,16280,1209600,16281,1209600,
16380,1209600,16380,1209600,16381,1209600,16381,1209600,
16481,1209600,16481,1209600,16481,1209600,16481,1209600,
16581,1209600,16581,1209600,16582,1209600,16582,1209600,
16682,1209600,16682,1209600,16682,1209600,16682,1209600,
16782,1209600,16782,1209600,16782,1209600,16783,1209600,
16882,1209600,16883,1209600,16883,1209600,16883,1209600,
16983,1209600,16983,1209600,16983,1209600,16984,1209600,
17083,1209600,17084,1209600,17084,1209600,17084,1209600,
17184,1209600,17184,1209600,17184,1209600,17185,1209600,
17284,1209600,17284,1209600,17285,1209600,17285,1209600,
17384,1209600,17385,1209600,17385,1209600,17385,1209600,
17485,1209600,17485,1209600,17485,1209600,17486,1209600,
17586,1209600,17586,1209600,17586,1209600,17587,1209600,
17686,1209600,17687,1209600,17687,1209600,17687,1209600,
17787,1209600,17788,1209600,17788,1209600,17788,1209600,
17887,1209600,17888,1209600,17888,1209600,17888,1209600,
17988,1209600,17988,1209600,17988,1209600,17989,1209600,
18089,998400,18090,998400,18090,998400,18091,998400,
18189,1209600,18190,1209600,18190,1209600,18191,1209600,
18290,998400,18293,998400,18294,998400,18297,998400,
18393,1209600,18394,1209600,18394,1209600,18394,1209600,
18494,1209600,18494,1209600,18495,1209600,18495,1209600,
18595,1209600,18596,1209600,18596,1209600,18597,1209600,
18695,1209600,18696,1209600,18696,1209600,18696,1209600,
18796,998400,18797,998400,18797,998400,18798,998400,
18897,1209600,18898,1209600,18898,1209600,18898,1209600,
18997,1152000,18998,1152000,18998,1152000,18998,1152000,
19098,998400,19099,998400,19099,998400,19100,998400,
19199,1152000,19199,1152000,19200,1152000,19200,1152000,
19300,1209600,19300,1209600,19301,1209600,19301,1209600,
19401,1209600,19401,1209600,19402,1209600,19402,1209600,
19504,1094400,19504,1094400,19505,1094400,19505,1094400,
19605,1209600,19605,1209600,19605,1209600,19606,1209600,
19706,1152000,19706,1152000,19707,1152000,19707,1152000,
19807,1209600,19808,1209600,19808,1209600,19809,1209600,
19911,998400,19911,998400,19912,998400,19913,998400,
20011,1209600,20012,1209600,20012,1209600,20012,1209600,
20112,1209600,20112,1209600,20113,1209600,20114,1209600,
20213,1094400,20214,1094400,20214,1094400,20215,1094400,
20314,1094400,20315,1094400,20315,1094400,20316,1094400,
20417,1209600,20418,1209600,20418,1209600,20419,1209600,
20518,1209600,20518,1209600,20519,1209600,20519,1209600,
20618,1209600,20619,1209600,20619,1209600,20619,1209600,
20720,1209600,20720,1209600,20720,1209600,20721,1209600,
20820,1209600,20821,1209600,20821,1209600,20821,1209600,
20921,1094400,20922,1094400,20922,1094400,20922,1094400,
21022,1094400,21023,1094400,21023,1094400,21023,1094400,
21123,998400,21123,998400,21123,998400,21124,998400,
21223,1209600,21224,1209600,21224,1209600,21225,1209600,
21325,1209600,21325,1209600,21326,1209600,21326,1209600,
21425,998400,21426,998400,21426,998400,21427,998400,
21526,1209600,21526,1209600,21527,1209600,21527,1209600,
21626,998400,21627,998400,21627,998400,21628,998400,
21727,800000,21728,800000,21728,800000,21728,800000,
21828,998400,21828,998400,21829,998400,21829,998400,
21929,998400,21929,998400,21930,998400,21930,998400,
21979,998400,21979,998400,21979,998400,21980,998400,
22079,998400,22080,998400,22081,998400,22081,998400,
22180,998400,22181,998400,22181,998400,22182,998400,
22281,998400,22281,998400,22282,998400,22282,998400,
22384,998400,22384,998400,22385,998400,22385,998400,
22485,998400,22485,998400,22485,998400,22486,998400,
22585,800000,22586,800000,22586,800000,22587,800000,
22686,800000,22686,800000,22687,800000,22688,800000,
22786,998400,22787,998400,22788,998400,22788,998400,
22888,800000,22889,800000,22891,800000,22892,800000,
22988,1094400,22988,1094400,22988,1094400,22989,1094400,
23091,800000,23093,800000,23094,800000,23095,800000,
23190,998400,23190,998400,23191,998400,23191,998400,
23291,800000,23292,800000,23292,800000,23292,800000,
23392,998400,23392,998400,23393,998400,23393,998400,
23492,998400,23493,998400,23493,998400,23494,998400,
23593,800000,23594,800000,23594,800000,23594,800000,
23694,998400,23695,998400,23695,998400,23695,998400,
23795,998400,23795,998400,23796,998400,23796,998400,
23896,1094400,23896,1094400,23897,998400,23897,998400,
23996,1209600,23997,1209600,23998,1209600,23998,1209600,
24098,800000,24100,800000,24101,800000,24102,800000,
24198,998400,24198,998400,24199,998400,24199,998400,
24299,1209600,24300,1209600,24300,1209600,24300,1209600,
24400,800000,24402,800000,24403,800000,24404,800000,
24501,998400,24502,998400,24503,998400,24504,998400,
24602,800000,24602,800000,24603,800000,24607,800000,
24704,800000,24706,800000,24707,800000,24709,800000,
24805,1094400,24806,1094400,24806,1094400,24807,1094400,
24908,800000,24909,800000,24910,800000,24911,800000,
25007,998400,25008,998400,25008,998400,25009,998400,
25109,800000,25110,800000,25111,800000,25112,800000,
25211,800000,25214,800000,25215,800000,25216,998400,
25311,998400,25312,998400,25312,998400,25313,998400,
25412,998400,25412,998400,25413,998400,25413,998400,
25512,1209600,25513,1209600,25513,1209600,25513,1209600,
25612,1209600,25613,1209600,25613,1209600,25614,1209600,
25713,1209600,25714,1209600,25714,1209600,25714,1209600,
25814,1209600,25814,1209600,25815,1209600,25815,1209600,
25914,1209600,25914,1209600,25915,1209600,25915,1209600,
26014,1209600,26015,1209600,26015,1209600,26015,1209600,
26115,1209600,26115,1209600,26115,1209600,26116,1209600,
26215,1209600,26215,1209600,26216,1209600,26216,1209600,
26315,1209600,26316,1209600,26316,1209600,26316,1209600,
26417,1209600,26417,1209600,26418,1209600,26418,1209600,
26517,1209600,26518,1209600,26518,1209600,26518,1209600,
26618,1209600,26618,1209600,26618,1209600,26618,1209600,
26718,1209600,26718,1209600,26719,1209600,26719,1209600,
26818,1209600,26819,1209600,26819,1209600,26819,1209600,
26918,1209600,26919,1209600,26919,1209600,26919,1209600,
27019,1209600,27019,1209600,27019,1209600,27020,1209600,
27119,1209600,27119,1209600,27120,1209600,27120,1209600,
27219,1209600,27220,1209600,27220,1209600,27220,1209600,
27320,1209600,27320,1209600,27320,1209600,27320,1209600,
27420,1209600,27420,1209600,27421,1209600,27421,1209600,
27520,1209600,27521,1209600,27521,1209600,27521,1209600,
27620,1209600,27621,1209600,27621,1209600,27621,1209600,
27721,1209600,27721,1209600,27721,1209600,27722,1209600,
27822,800000,27822,800000,27822,800000,27823,800000,
27921,1209600,27922,1209600,27922,1209600,27922,1209600,
28022,1209600,28022,1209600,28022,1209600,28022,1209600,
28122,1209600,28122,1209600,28122,1209600,28123,1209600,
28222,1209600,28223,1209600,28223,1209600,28224,800000,
28322,1209600,28323,1209600,28323,1209600,28323,1209600,
28423,1209600,28423,1209600,28423,1209600,28423,1209600,
28523,998400,28524,998400,28524,998400,28524,998400,
28624,1209600,28624,1209600,28624,1209600,28625,1209600,
28725,1209600,28725,1209600,28725,1209600,28725,1209600,
28826,800000,28826,800000,28827,800000,28827,800000,
28927,800000,28927,800000,28927,800000,28928,800000,
29027,998400,29028,998400,29028,998400,29028,998400,
29128,800000,29129,800000,29129,800000,29129,800000,
29229,800000,29229,800000,29230,800000,29230,800000,
29330,800000,29331,800000,29331,800000,29331,800000,
