App,Package,Start Time,Duration,Filename
"Airbnb",com.airbnb.android,"Feb 20, 2018 @ 07:36:30 PM","40 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
0,310000,1,42,2,6,3,1209600,3,1209600,17,4,18,1209600,18,1209600,
104,310000,104,42,105,27,105,1209600,106,1209600,109,28,109,1209600,110,1209600,
204,310000,205,42,206,46,206,1209600,206,1209600,210,46,211,1209600,211,1209600,
305,310000,306,42,307,22,307,1209600,308,1209600,313,21,314,1209600,314,1209600,
406,310000,406,42,407,41,408,1209600,408,1209600,413,40,414,1209600,414,1209600,
506,310000,507,42,508,30,508,1209600,508,1209600,513,32,514,1209600,514,1209600,
607,310000,607,42,608,10,609,1209600,609,1209600,613,9,613,1209600,614,1209600,
707,400000,708,0,708,5,709,1209600,709,1209600,713,10,714,1209600,714,1209600,
807,310000,808,0,809,12,809,1209600,809,1209600,813,6,814,1209600,814,1209600,
907,310000,908,0,909,10,909,1209600,910,1209600,914,12,914,1209600,915,1209600,
1008,310000,1008,0,1009,24,1010,1209600,1010,1209600,1014,24,1015,1209600,1015,1209600,
1108,310000,1109,0,1110,47,1110,1209600,1111,1209600,1120,45,1120,1209600,1121,1209600,
1209,310000,1209,0,1211,42,1211,1209600,1212,1209600,1217,43,1217,1209600,1218,1209600,
1311,310000,1311,0,1312,51,1313,1209600,1313,1209600,1317,52,1317,1209600,1318,1209600,
1411,310000,1412,0,1413,18,1414,1209600,1414,1209600,1419,16,1420,1209600,1420,1209600,
1511,310000,1512,0,1513,30,1513,1209600,1514,1209600,1518,27,1518,1209600,1519,1209600,
1612,310000,1612,0,1613,15,1614,1209600,1614,1209600,1618,16,1619,1209600,1619,1209600,
