App,Package,Start Time,Duration,Filename
"System",,"May 30, 2018 @ 10:18:47 AM","1 min 1 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
4,1,2,1875424,0,0,3,0,
73,1,59,1881072,54,0,73,0,
161,1,155,1884116,154,0,160,24,
265,1,256,1884364,255,0,264,0,
365,1,356,1884488,355,0,364,9,
466,1,456,1884736,455,0,465,4,
562,1,556,1884580,555,0,561,20,
667,1,658,1884640,657,0,667,4,
768,1,757,1884768,756,0,768,4,
867,1,858,1884600,856,0,866,5,
967,1,958,1884576,956,0,967,7,
1068,1,1059,1884700,1057,0,1067,2,
1173,1,1159,1884532,1158,0,1173,13,
1272,1,1259,1884532,1258,0,1271,24,
1375,1,1360,1884656,1358,0,1375,19,
1475,1,1460,1884656,1458,0,1474,19,
1579,1,1560,1884656,1559,0,1578,20,
1676,1,1662,1884780,1660,0,1675,22,
1772,1,1762,1884412,1761,0,1772,22,
1869,1,1863,1882572,1862,0,1869,12,
1974,1,1964,1882572,1963,0,1973,6,
2069,1,2064,1882696,2063,0,2069,17,
2175,1,2166,1882696,2164,0,2174,1,
2276,1,2266,1882820,2265,0,2275,4,
2373,1,2367,1882820,2366,0,2373,5,
2478,1,2468,1882820,2467,0,2477,4,
2578,1,2569,1882944,2567,0,2577,1,
2679,1,2669,1882944,2667,0,2679,3,
2781,1,2771,1882944,2769,0,2781,6,
2882,1,2872,1883052,2870,0,2881,4,
2981,1,2971,1882680,2970,0,2981,7,
3081,1,3073,1882804,3071,0,3080,3,
3182,1,3173,1882804,3171,0,3181,1,
3282,1,3273,1882804,3271,0,3281,5,
3382,1,3374,1882928,3372,0,3382,3,
3488,1,3474,1882556,3473,0,3488,7,
3584,1,3576,1882804,3574,0,3583,6,
3685,1,3676,1882804,3675,0,3685,2,
3786,1,3777,1882788,3776,0,3786,3,
3895,1,3879,1882784,3877,0,3894,3,
3987,1,3979,1882784,3978,0,3986,3,
4089,1,4080,1882784,4079,0,4088,4,
4186,1,4181,1882412,4179,0,4186,9,
4291,1,4281,1882412,4280,0,4289,3,
4387,1,4382,1882536,4381,0,4387,5,
4496,1,4483,1882536,4481,0,4493,3,
4593,1,4584,1882660,4583,0,4592,3,
4695,1,4684,1882660,4683,0,4695,1,
4790,1,4784,1882764,4783,0,4789,9,
4894,1,4885,1882764,4884,0,4893,3,
4994,1,4986,1882764,4984,0,4994,3,
5097,1,5088,1882764,5086,0,5097,4,
5197,1,5188,1882764,5187,0,5197,0,
5297,1,5289,1882764,5287,0,5297,3,
5398,1,5390,1882516,5388,0,5397,6,
5499,1,5491,1882640,5489,0,5498,5,
5596,1,5590,1882640,5589,0,5595,2,
5700,1,5692,1882640,5691,0,5700,4,
5801,1,5793,1882764,5791,0,5800,4,
5905,1,5893,1882764,5891,0,5904,1,
6001,1,5995,1883012,5993,0,6000,6,
6101,1,6094,1883012,6093,0,6101,0,
6205,1,6195,1883012,6194,0,6205,4,
6303,1,6296,1883012,6295,0,6303,2,
6404,1,6397,1883012,6396,0,6404,3,
6507,1,6497,1883012,6496,0,6507,4,
6603,1,6598,1882640,6597,0,6603,9,
6706,1,6699,1882640,6698,0,6706,1,
6807,1,6800,1882640,6799,0,6807,4,
6908,1,6900,1882764,6899,0,6907,1,
7009,1,7001,1882764,7000,0,7008,4,
7115,1,7103,1882888,7101,0,7114,2,
7211,1,7203,1883012,7202,0,7211,4,
7319,1,7303,1883012,7302,0,7318,3,
7413,1,7404,1883012,7403,0,7412,3,
7513,1,7505,1883012,7503,0,7513,3,
7614,1,7605,1883012,7604,0,7613,3,
7719,1,7706,1883012,7705,0,7718,4,
7816,1,7808,1882640,7806,0,7815,6,
7916,1,7908,1882640,7907,0,7915,3,
8017,1,8009,1882764,8008,0,8016,1,
8118,1,8110,1882764,8109,0,8117,3,
8219,1,8211,1882764,8209,0,8219,2,
8322,1,8312,1882888,8310,0,8322,4,
8421,1,8414,1883012,8412,0,8420,6,
8524,1,8513,1882860,8511,0,8524,0,
8621,1,8614,1882920,8612,0,8621,3,
8721,1,8713,1882920,8712,0,8720,3,
8822,1,8814,1882920,8813,0,8821,3,
8923,1,8914,1882920,8913,0,8923,2,
9024,1,9016,1882672,9014,0,9023,7,
9123,1,9116,1882672,9115,0,9123,3,
9225,1,9217,1882672,9216,0,9224,3,
9325,1,9318,1882796,9317,0,9325,1,
9427,1,9419,1882796,9418,0,9426,3,
9528,1,9520,1882796,9518,0,9527,3,
9630,1,9621,1882796,9619,0,9629,6,
9732,1,9721,1882796,9720,0,9732,3,
9830,1,9821,1882776,9820,0,9829,2,
9932,1,9923,1882900,9921,0,9931,3,
10032,1,10023,1882900,10022,0,10032,5,
10137,1,10124,1883024,10122,0,10137,4,
10231,1,10226,1883024,10224,0,10231,7,
10334,1,10326,1883024,10324,0,10334,3,
10435,1,10427,1883024,10425,0,10434,3,
10536,1,10527,1883024,10526,0,10535,4,
10636,1,10628,1883024,10627,0,10636,3,
10738,1,10728,1883024,10727,0,10737,4,
10840,1,10829,1883016,10828,0,10840,4,
10938,1,10930,1883016,10929,0,10938,4,
11039,1,11031,1883016,11029,0,11038,6,
11140,1,11132,1883016,11131,0,11140,1,
11240,1,11232,1883016,11231,0,11240,2,
11344,1,11333,1883016,11332,0,11343,3,
11441,1,11434,1883016,11433,0,11441,10,
11542,1,11534,1883016,11533,0,11541,3,
11643,1,11636,1883016,11634,0,11642,1,
11744,1,11737,1883016,11735,0,11743,4,
11844,1,11837,1883016,11836,0,11844,1,
11946,1,11938,1883016,11937,0,11946,1,
12050,1,12039,1882916,12037,0,12049,6,
12149,1,12140,1882916,12139,0,12148,4,
12248,1,12240,1882916,12239,0,12248,3,
12349,1,12341,1882916,12340,0,12349,2,
12451,1,12442,1882872,12441,0,12450,5,
12554,1,12543,1882872,12541,0,12553,1,
12652,1,12646,1883048,12642,0,12651,9,
12751,1,12743,1883048,12743,0,12751,25,
12860,1,12846,1882976,12844,0,12859,3,
12955,1,12947,1882976,12946,0,12955,4,
13052,1,13046,1882976,13045,0,13051,4,
13156,1,13147,1882976,13146,0,13156,4,
13265,1,13248,1882976,13246,0,13264,6,
13358,1,13349,1882976,13348,0,13357,6,
13457,1,13450,1882976,13448,0,13457,3,
13558,1,13551,1882976,13549,0,13558,3,
13658,1,13651,1883236,13650,0,13657,20,
13764,1,13753,1883236,13751,0,13763,21,
13859,1,13854,1883220,13852,0,13859,15,
13964,1,13954,1882672,13953,0,13963,5,
14060,1,14055,1882792,14054,0,14060,9,
14164,1,14156,1882916,14155,0,14163,0,
14265,1,14257,1883164,14256,0,14265,1,
14370,1,14358,1883288,14356,0,14370,6,
14465,1,14458,1883412,14457,0,14465,5,
14567,1,14559,1883412,14558,0,14566,2,
14667,1,14660,1883412,14659,0,14667,4,
14769,1,14761,1883532,14759,0,14768,5,
14869,1,14861,1883476,14860,0,14868,2,
14972,1,14962,1883600,14961,0,14971,6,
15068,1,15063,1883600,15061,0,15068,6,
15118,1,15113,1883724,15112,0,15117,7,
15221,1,15214,1883724,15213,0,15221,3,
15322,1,15315,1883724,15313,0,15321,3,
15422,1,15415,1883848,15414,0,15421,0,
15525,1,15515,1883848,15514,0,15525,3,
15623,1,15615,1883972,15614,0,15623,6,
15725,1,15717,1883972,15715,0,15725,1,
15826,1,15817,1883964,15816,0,15825,6,
15925,1,15917,1883964,15916,0,15925,4,
16027,1,16018,1883964,16017,0,16026,2,
16127,1,16118,1883964,16117,0,16126,4,
16227,1,16219,1884088,16217,0,16227,7,
16326,1,16319,1884088,16318,0,16326,0,
