"","post_id","pred"
"1",41112965,"Components"
"2",32921712,"UI elements/Views"
"3",41114156,"External/OS Services"
"4",41114460,"Filesystems / Database"
"5",41114356,"Filesystems / Database"
"6",41114707,"Building/Development/IDE"
"7",32936866,"Components"
"8",42107455,"State"
"9",33930854,"Building/Development/IDE"
"10",33931078,"JS syntax / general programming"
"11",42107475,"Building/Development/IDE"
"12",42108278,"Building/Development/IDE"
"13",42108512,"Network"
"14",33932997,"JS syntax / general programming"
"15",42109563,"Router/Flux"
"16",42110496,"Building/Development/IDE"
"17",42110511,"Network"
"18",42110618,"UI elements/Views"
"19",33934571,"Filesystems / Database"
"20",42111641,"UI elements/Views"
"21",42112618,"Webview"
"22",33936493,"Animations/visuals/styles"
"23",33936583,"Building/Development/IDE"
"24",33937726,"Building/Development/IDE"
"25",33937898,"Webview"
"26",42114755,"External/OS Services"
"27",33938137,"Animations/visuals/styles"
"28",42114957,"Animations/visuals/styles"
"29",42115337,"Building/Development/IDE"
"30",33938937,"Debugging"
"31",42149490,"Debugging"
"32",42149517,"UI elements/Views"
"33",42149793,"FlatList/ListView/ScrollView"
"34",33978932,"Building/Development/IDE"
"35",33974881,"External/OS Services"
"36",33979832,"Components"
"37",33975158,"Webview"
"38",42150035,"Animations/visuals/styles"
"39",42156570,"Navigation"
"40",42157198,"UI elements/Views"
"41",33981230,"Building/Development/IDE"
"42",33982180,"Animations/visuals/styles"
"43",42158529,"Building/Development/IDE"
"44",42158178,"Building/Development/IDE"
"45",42159146,"Debugging"
"46",42157318,"Redux"
"47",33982377,"External/OS Services"
"48",33982426,"Building/Development/IDE"
"49",42159729,"UI elements/Views"
"50",33984088,"Animations/visuals/styles"
"51",33984947,"Network"
"52",33985639,"UI elements/Views"
"53",33986701,"UI elements/Views"
"54",33986782,"Animations/visuals/styles"
"55",42163164,"VCS/NPM"
"56",42163283,"UI elements/Views"
"57",42163742,"Animations/visuals/styles"
"58",33987532,"Building/Development/IDE"
"59",42164070,"Redux"
"60",42164817,"Building/Development/IDE"
"61",42165123,"Building/Development/IDE"
"62",33988844,"UI elements/Views"
"63",42165428,"Animations/visuals/styles"
"64",42165866,"UI elements/Views"
"65",33990925,"External/OS Services"
"66",42167094,"Camera"
"67",42167211,"Building/Development/IDE"
"68",42168147,"Components"
"69",42168258,"Network"
"70",33991837,"UI elements/Views"
"71",42168543,"Animations/visuals/styles"
"72",42168564,"Building/Development/IDE"
"73",42168623,"Navigation"
"74",33992752,"Camera"
"75",42169272,"UI elements/Views"
"76",33993742,"Navigation"
"77",42170127,"Animations/visuals/styles"
"78",34030082,"Network"
"79",42206332,"Animations/visuals/styles"
"80",42209371,"FlatList/ListView/ScrollView"
"81",42209439,"FlatList/ListView/ScrollView"
"82",42206976,"Navigation"
"83",42207651,"Navigation"
"84",42208482,"FlatList/ListView/ScrollView"
"85",34031310,"FlatList/ListView/ScrollView"
"86",42210468,"Building/Development/IDE"
"87",42210692,"Firebase/Expo"
"88",42210847,"Animations/visuals/styles"
"89",34035421,"Building/Development/IDE"
"90",42211381,"Navigation"
"91",42212116,"Components"
"92",34036077,"State"
"93",42212024,"External/OS Services"
"94",42212444,"UI elements/Views"
"95",42212314,"Building/Development/IDE"
"96",34037339,"VCS/NPM"
"97",42213046,"State"
"98",42214542,"JS syntax / general programming"
"99",42215012,"Debugging"
"100",34039955,"Animations/visuals/styles"
"101",42216418,"Firebase/Expo"
"102",42216579,"UI elements/Views"
"103",42216755,"External/OS Services"
"104",42216801,"VCS/NPM"
"105",42217245,"VCS/NPM"
"106",34041892,"Camera"
"107",42218022,"Debugging"
"108",42219132,"JS syntax / general programming"
"109",42219577,"State"
"110",42219883,"External/OS Services"
"111",42221015,"JS syntax / general programming"
"112",34045706,"State"
"113",42222323,"Webview"
"114",34048035,"Animations/visuals/styles"
"115",34048387,"Building/Development/IDE"
"116",34048540,"Building/Development/IDE"
"117",42224740,"Firebase/Expo"
"118",34049369,"FlatList/ListView/ScrollView"
"119",42225224,"Network"
