Class,card,post_id,view_count,body,text
JS syntax / general programming,What is the difference between using constructor vs getInitialState in React / React Native?,30668326,123882,I ve seen both used interchangeably What are the main use cases for both? Are there advantages disadvantages? Is one a better practice? ,What is the difference between using constructor vs getInitialState in React / React Native? I ve seen both used interchangeably What are the main use cases for both? Are there advantages disadvantages? Is one a better practice? 
Building/Development/IDE,Failed to find Build Tools revision 23.0.1,36683726,104969,I am trying to build my first app with react native I am following these 2 tutorial https facebook github io react native docs getting started html content https facebook github io react native docs android setup html I am sure that I installed all the requirements from the second link but when I try running my app with I get the following error I executed this command while running genymotion This is all that I have installed in Android SDK I tried to install Android build tools 23 0 1 but I get this error What should I do? ,Failed to find Build Tools revision 23.0.1 I am trying to build my first app with react native I am following these 2 tutorial https facebook github io react native docs getting started html content https facebook github io react native docs android setup html I am sure that I installed all the requirements from the second link but when I try running my app with I get the following error I executed this command while running genymotion This is all that I have installed in Android SDK I tried to install Android build tools 23 0 1 but I get this error What should I do? 
Building/Development/IDE,React Native android build failed. SDK location not found,32634352,100886,I have error when i start running android ,React Native android build failed. SDK location not found I have error when i start running android 
UI elements/Views,What's the best way to add a full screen background image in React Native,29322973,94210,I wanted to add a full screen image to the View so I write this code and defined the style as but in this way how am I supposed to find the actual iPhone screen size? I ve seen an API to access the Pixel Density but nothing about the screen size Any idea? ,What's the best way to add a full screen background image in React Native I wanted to add a full screen image to the View so I write this code and defined the style as but in this way how am I supposed to find the actual iPhone screen size? I ve seen an API to access the Pixel Density but nothing about the screen size Any idea? 
UI elements/Views,100% width in React Native Flexbox,33297367,89021,I have already read several flexbox tutorial but I still cannot make this simple task to work How can I make the red box to 100 width? Code style Thank you! Update 1 Suggestion by Nishanth Shankar adding flex 1 for the wrapper flexDirection row Output Code ,100% width in React Native Flexbox I have already read several flexbox tutorial but I still cannot make this simple task to work How can I make the red box to 100 width? Code style Thank you! Update 1 Suggestion by Nishanth Shankar adding flex 1 for the wrapper flexDirection row Output Code 
Camera,NSPhotoLibraryUsageDescription key must be present in Info.plist to use camera roll,39519773,85069,Recently I started to get this error NSPhotoLibraryUsageDescription key must be present in Info plist to use camera roll I am using React Native to build my app I am not familiar with ios native development and I don t know how to add this key to Info plist Can you post an example? Thanks I am using npm package ,NSPhotoLibraryUsageDescription key must be present in Info.plist to use camera roll Recently I started to get this error NSPhotoLibraryUsageDescription key must be present in Info plist to use camera roll I am using React Native to build my app I am not familiar with ios native development and I don t know how to add this key to Info plist Can you post an example? Thanks I am using npm package 
Building/Development/IDE,What is difference between React native vs React?,34641582,83334,I have started to learn React out of curiosity and wanted to know this Could not find a satisfactory answer in Google React and React native seem to have same format Do they have completely different syntax? ,What is difference between React native vs React? I have started to learn React out of curiosity and wanted to know this Could not find a satisfactory answer in Google React and React native seem to have same format Do they have completely different syntax? 
Building/Development/IDE,react native android failed to load JS bundle,32572399,81688,I m trying to run AwesomeProject on my Nexus5 android 5 1 1 I m able to build the project and install it on the device But when I run it I got a red screen saying Unable to download JS bundle Did you forget to start the development server or connect your device? In react native iOS I can choose to load jsbundle offline How can I do the same thing for Android? Or at least where can I configure the server address? Update To run with local server run the following commands under your react native project root directory react native start gt dev null 2 gt amp 1 amp adb reverse tcp 8081 tcp 8081 please take a look at dsissitka s answer for more details To run without a server bundle the jsfile into the apk by running create an assets folder under please take a look at kzzzf s answer for more details ,react native android failed to load JS bundle I m trying to run AwesomeProject on my Nexus5 android 5 1 1 I m able to build the project and install it on the device But when I run it I got a red screen saying Unable to download JS bundle Did you forget to start the development server or connect your device? In react native iOS I can choose to load jsbundle offline How can I do the same thing for Android? Or at least where can I configure the server address? Update To run with local server run the following commands under your react native project root directory react native start gt dev null 2 gt amp 1 amp adb reverse tcp 8081 tcp 8081 please take a look at dsissitka s answer for more details To run without a server bundle the jsfile into the apk by running create an assets folder under please take a look at kzzzf s answer for more details 
Debugging,How to do logging in React Native?,30115372,72650,How can I log a variable in React Native like using when developing for web? ,How to do logging in React Native? How can I log a variable in React Native like using when developing for web? 
UI elements/Views,Hide/Show components in react native,30266831,70232,I m really new to React Native and I m wondering how can I hide show a component Here s my test case I have a component what I want is to show the when the input gets the focus then hide the when the the user press the cancel button I don t know how to access the component in order to hide show it inside of my functions Also how can I hide the button from the very beginning? ,Hide/Show components in react native I m really new to React Native and I m wondering how can I hide show a component Here s my test case I have a component what I want is to show the when the input gets the focus then hide the when the the user press the cancel button I don t know how to access the component in order to hide show it inside of my functions Also how can I hide the button from the very beginning? 
