App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 03:10:02 PM","38 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
14,0,1,1685280,0,0,13,0,
107,0,102,1686476,101,0,107,25,
157,0,152,1686476,151,0,157,3,
257,0,252,1687288,251,0,256,20,
357,0,353,1687580,352,0,357,30,
458,0,453,1687876,452,0,458,27,
558,0,553,1687792,552,0,558,46,
665,0,656,1688016,654,0,665,32,
760,0,755,1688152,754,0,759,32,
861,0,855,1688312,854,0,861,27,
961,0,956,1688536,955,0,961,29,
1062,0,1056,1688660,1055,0,1061,27,
1162,0,1157,1689032,1156,0,1162,27,
1265,0,1258,1689792,1257,0,1264,29,
1370,0,1358,1689736,1357,0,1369,51,
1464,0,1458,1689712,1457,0,1464,5,
1564,0,1559,1690348,1558,0,1564,21,
1628,1,1660,1690688,1659,0,1665,76,
1666,1,1762,1690744,1760,0,1767,63,
1768,1,1861,1690924,1861,0,1867,55,
1867,1,1962,1691152,1961,0,1967,53,
1967,1,2063,1691376,2062,0,2078,47,
2078,1,2163,1691368,2162,0,2171,47,
2174,1,2263,1691520,2262,0,2268,54,
2268,1,2363,1691520,2363,0,2368,52,
2368,1,2464,1691520,2463,0,2469,50,
2470,1,2565,1691520,2564,0,2569,48,
2570,1,2665,1692016,2664,0,2677,46,
2677,1,2765,1692264,2764,0,2778,48,
2778,1,2866,1688848,2865,0,2877,43,
2878,1,2967,1688444,2966,0,2974,36,
2974,1,3067,1688444,3066,0,3079,27,
3079,1,3169,1688504,3167,0,3179,29,
3179,1,3270,1686544,3269,0,3306,89,
3306,1,3370,1689928,3369,0,3381,94,
3381,1,3479,1691240,3471,0,3492,76,
3493,1,3572,1692480,3571,0,3584,63,
3584,1,3680,1692584,3672,0,3698,71,
3698,1,3776,1693552,3775,0,3799,95,
3800,1,3877,1693140,3876,0,3882,93,
