App,Package,Start Time,Duration,Filename
"System",,"May 31, 2018 @ 03:41:45 PM","1 min 41 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
15,0,1,1735340,0,0,15,0,
108,0,101,1736148,101,0,108,23,
158,0,152,1736324,151,0,158,4,
262,0,253,1736880,251,0,262,12,
358,0,352,1737640,352,0,357,21,
458,0,453,1738060,452,0,458,29,
563,0,555,1738220,553,0,563,29,
660,0,654,1738752,653,0,660,27,
759,0,754,1738796,754,0,759,36,
860,0,855,1738968,854,0,859,29,
960,0,955,1739384,954,0,960,27,
1061,0,1056,1738560,1055,0,1061,27,
1161,0,1156,1738720,1156,0,1161,27,
1263,0,1257,1739696,1256,0,1262,27,
1364,0,1358,1740060,1357,0,1364,45,
1465,0,1458,1738336,1457,0,1464,25,
1572,0,1559,1738336,1558,0,1572,2,
1675,1,1661,1738096,1659,0,1686,46,
1686,1,1760,1740628,1759,0,1771,72,
1771,1,1861,1740388,1860,0,1872,58,
1873,1,1961,1740568,1960,0,1969,50,
1970,1,2061,1740868,2061,0,2073,53,
2074,1,2161,1740952,2161,0,2176,48,
2176,1,2263,1741132,2261,0,2273,51,
2273,1,2365,1741192,2362,0,2374,49,
2375,1,2466,1741608,2464,0,2475,47,
2476,1,2565,1741660,2563,0,2575,44,
2575,1,2667,1741468,2665,0,2675,55,
2675,1,2768,1741644,2766,0,2777,45,
2777,1,2868,1742276,2867,0,2877,48,
2878,1,2969,1743376,2967,0,2978,48,
2978,1,3069,1739792,3068,0,3077,41,
3077,1,3170,1739684,3168,0,3182,25,
3182,1,3272,1739684,3269,0,3279,28,
3280,1,3373,1739684,3369,0,3394,23,
3394,1,3472,1740316,3470,0,3504,85,
3504,1,3573,1741680,3571,0,3584,97,
3584,1,3676,1742176,3674,0,3698,75,
3698,1,3775,1743244,3773,0,3795,94,
3795,1,3875,1744436,3874,0,3893,88,
3893,1,3977,1745008,3976,0,3987,83,
3987,1,4078,1745700,4077,0,4089,75,
4089,1,4178,1747512,4178,0,4189,83,
4189,1,4279,1744864,4278,0,4287,58,
4287,1,4380,1744796,4379,0,4388,53,
4388,1,4481,1744856,4480,0,4489,26,
4489,1,4582,1744856,4580,0,4592,5,
4592,1,4683,1744648,4681,0,4693,7,
4694,1,4784,1744704,4783,0,4790,4,
4791,1,4884,1744764,4883,0,4891,4,
4891,1,4985,1744824,4984,0,4992,0,
4993,1,5086,1745000,5084,0,5093,6,
5093,1,5187,1745668,5185,0,5193,22,
5193,1,5287,1745668,5286,0,5295,4,
5295,1,5388,1745668,5387,0,5396,2,
5397,1,5489,1745668,5488,0,5501,4,
5502,1,5590,1745636,5589,0,5595,20,
5595,1,5691,1743972,5689,0,5696,6,
5697,1,5792,1744212,5790,0,5803,12,
5803,1,5893,1744008,5891,0,5903,18,
5904,1,5994,1744188,5992,0,6006,15,
6006,1,6095,1744312,6093,0,6112,16,
6112,1,6195,1744336,6194,0,6212,20,
6212,1,6296,1744508,6294,0,6310,17,
6311,1,6397,1744796,6395,0,6406,12,
6407,1,6498,1744956,6496,0,6506,4,
6507,1,6598,1744884,6597,0,6605,5,
6605,1,6699,1744936,6698,0,6706,3,
6706,1,6800,1744996,6799,0,6807,6,
6807,1,6901,1745056,6899,0,6917,1,
6917,1,7002,1745056,7001,0,7008,5,
7009,1,7102,1745056,7101,0,7110,3,
7110,1,7203,1745080,7202,0,7211,2,
7211,1,7304,1745132,7303,0,7312,3,
7312,1,7405,1745184,7403,0,7413,8,
7414,1,7507,1744840,7504,0,7512,13,
7513,1,7605,1744840,7604,0,7612,4,
7613,1,7709,1744900,7707,0,7719,4,
7719,1,7807,1744960,7806,0,7814,1,
7814,1,7908,1744960,7907,0,7916,9,
7916,1,8009,1745020,8007,0,8015,0,
8015,1,8110,1745072,8108,0,8118,4,
8118,1,8211,1745132,8209,0,8217,4,
8217,1,8311,1745184,8310,0,8319,2,
8319,1,8413,1745184,8411,0,8424,7,
8424,1,8512,1745180,8511,0,8518,12,
8519,1,8613,1744872,8612,0,8626,7,
8627,1,8714,1744872,8713,0,8722,3,
8722,1,8814,1744932,8813,0,8819,11,
8819,1,8916,1744992,8915,0,8922,1,
8923,1,9016,1744792,9015,0,9023,33,
9023,1,9121,1744724,9117,0,9135,20,
9136,1,9220,1743460,9218,0,9230,22,
9232,1,9321,1743512,9318,0,9338,20,
9339,1,9419,1743108,9418,0,9424,31,
9424,1,9522,1743108,9520,0,9528,18,
9529,1,9622,1743168,9620,0,9629,15,
9629,1,9723,1743228,9722,0,9729,4,
9730,1,9823,1743228,9822,0,9830,3,
9830,1,9924,1743228,9923,0,9928,4,
9928,1,10025,1743288,10024,0,10033,1,
10033,1,10126,1743360,10125,0,10135,4,
10135,1,10227,1743412,10225,0,10235,2,
10235,1,10328,1743464,10326,0,10337,3,
10338,1,10428,1743136,10427,0,10432,12,
10433,1,10532,1743112,10531,0,10537,4,
10537,1,10630,1743164,10629,0,10634,10,
10635,1,10731,1743224,10730,0,10738,3,
10738,1,10832,1743224,10831,0,10839,4,
10839,1,10933,1743284,10932,0,10944,0,
10944,1,11034,1743344,11032,0,11041,4,
11042,1,11134,1743328,11133,0,11143,4,
11143,1,11236,1743348,11234,0,11245,3,
11245,1,11335,1743044,11335,0,11340,9,
11341,1,11437,1742796,11436,0,11444,4,
11444,1,11538,1741968,11537,0,11546,4,
11546,1,11639,1742148,11637,0,11645,3,
11646,1,11739,1742328,11738,0,11750,3,
11751,1,11840,1742448,11839,0,11848,1,
11848,1,11941,1742660,11939,0,11949,6,
11949,1,12041,1742824,12040,0,12046,6,
12046,1,12142,1743008,12141,0,12153,6,
12154,1,12244,1742584,12242,0,12248,12,
12248,1,12344,1742688,12343,0,12352,3,
12352,1,12444,1742688,12443,0,12452,2,
12453,1,12546,1742740,12544,0,12557,6,
12558,1,12646,1742800,12645,0,12653,3,
12654,1,12747,1742736,12745,0,12754,2,
12754,1,12848,1742736,12847,0,12855,9,
12856,1,12948,1742788,12947,0,12957,6,
12957,1,13050,1742840,13048,0,13057,1,
13057,1,13152,1743000,13149,0,13162,9,
13162,1,13251,1742692,13249,0,13256,8,
13256,1,13301,1742744,13300,0,13306,0,
13306,1,13401,1742800,13400,0,13411,4,
13411,1,13502,1742788,13501,0,13510,4,
13511,1,13604,1742788,13602,0,13611,0,
13611,1,13704,1742840,13703,0,13711,7,
13712,1,13805,1742892,13804,0,13813,3,
13813,1,13906,1742892,13905,0,13918,3,
13919,1,14007,1743000,14006,0,14017,3,
14018,1,14107,1742584,14106,0,14113,13,
14114,1,14208,1742584,14207,0,14212,4,
14213,1,14309,1742636,14308,0,14317,8,
14317,1,14411,1742636,14410,0,14418,1,
14419,1,14511,1742696,14510,0,14518,4,
14519,1,14612,1742756,14611,0,14619,3,
14619,1,14714,1742756,14712,0,14726,1,
14726,1,14814,1742816,14812,0,14833,7,
14833,1,14913,1743128,14912,0,14918,51,
14919,1,15014,1743128,15013,0,15020,5,
15020,1,15116,1742912,15114,0,15122,6,
15122,1,15215,1742912,15215,0,15222,3,
15223,1,15317,1742912,15316,0,15324,3,
15324,1,15418,1742992,15416,0,15425,4,
15426,1,15519,1742992,15517,0,15529,4,
15529,1,15620,1743044,15618,0,15628,1,
15629,1,15721,1743096,15719,0,15728,4,
15728,1,15822,1743148,15820,0,15830,3,
15831,1,15922,1743200,15921,0,15930,2,
15931,1,16022,1742956,16021,0,16026,9,
16027,1,16124,1742984,16123,0,16130,3,
16131,1,16227,1742984,16225,0,16234,3,
16234,1,16325,1743044,16324,0,16332,4,
16332,1,16426,1743104,16424,0,16437,3,
16437,1,16527,1743164,16526,0,16535,6,
16535,1,16627,1743164,16626,0,16635,4,
16636,1,16729,1743220,16727,0,16736,6,
16737,1,16829,1743272,16828,0,16841,4,
16842,1,16929,1742864,16928,0,16934,10,
16934,1,17031,1742864,17030,0,17038,4,
17038,1,17132,1742896,17131,0,17139,4,
17139,1,17233,1742168,17231,0,17244,1,
17244,1,17333,1742228,17332,0,17341,4,
17341,1,17434,1742408,17432,0,17441,3,
17441,1,17535,1742588,17533,0,17544,4,
17544,1,17635,1742752,17634,0,17642,1,
17643,1,17736,1742924,17735,0,17744,4,
17745,1,17837,1743044,17836,0,17845,3,
17845,1,17938,1743032,17936,0,17949,8,
17949,1,18039,1743092,18038,0,18045,5,
18046,1,18140,1743092,18138,0,18147,3,
18147,1,18240,1743092,18239,0,18248,1,
18248,1,18342,1743144,18341,0,18349,6,
18350,1,18442,1743144,18441,0,18449,4,
18449,1,18544,1743196,18542,0,18552,1,
18553,1,18644,1743256,18642,0,18658,5,
18658,1,18744,1743316,18743,0,18751,6,
18752,1,18846,1743376,18843,0,18856,4,
18856,1,18945,1742972,18944,0,18950,9,
18951,1,19046,1743032,19045,0,19054,4,
19054,1,19147,1743020,19146,0,19155,3,
19155,1,19248,1743080,19247,0,19256,6,
19256,1,19349,1743080,19348,0,19356,1,
19357,1,19449,1743140,19448,0,19464,3,
19464,1,19552,1743200,19550,0,19560,3,
19560,1,19652,1743252,19650,0,19660,6,
19660,1,19753,1743312,19751,0,19759,4,
19760,1,19854,1743312,19852,0,19862,3,
19863,1,19954,1743120,19952,0,19961,7,
19961,1,20054,1743120,20053,0,20061,4,
20061,1,20155,1743192,20154,0,20161,3,
20162,1,20256,1743160,20255,0,20272,1,
20273,1,20358,1743220,20356,0,20365,4,
20365,1,20458,1743272,20457,0,20466,4,
20466,1,20558,1743324,20557,0,20563,3,
20564,1,20659,1743376,20658,0,20667,0,
20667,1,20760,1743376,20759,0,20768,4,
20768,1,20862,1743488,20860,0,20873,3,
20873,1,20962,1743036,20961,0,20969,12,
20969,1,21064,1743036,21062,0,21075,4,
