App,Package,Start Time,Duration,Filename
"System",,"Jun 4, 2018 @ 02:13:55 PM","27 min 34 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
10,0,2,1858072,0,0,9,0,
111,0,105,1857972,103,0,111,38,
212,0,205,1858052,204,0,211,6,
310,0,305,1858252,304,0,310,17,
410,0,406,1858900,405,0,410,29,
512,0,506,1859064,505,0,512,25,
611,0,607,1858996,605,0,611,32,
713,0,708,1859104,707,0,712,30,
812,0,807,1859332,807,0,812,27,
913,0,908,1859544,907,0,913,27,
1019,0,1011,1859844,1009,0,1019,25,
1115,0,1110,1859896,1109,0,1115,29,
1216,0,1210,1860352,1209,0,1215,27,
1329,0,1311,1861596,1310,0,1327,28,
1417,0,1412,1857388,1411,0,1417,44,
1478,1,1512,1864460,1511,0,1518,45,
1518,1,1613,1865012,1612,0,1618,23,
1618,1,1713,1865288,1713,0,1719,44,
1719,1,1814,1865396,1813,0,1820,46,
1820,1,1915,1865676,1914,0,1920,53,
1920,1,2015,1865900,2014,0,2028,48,
2028,1,2116,1865736,2116,0,2125,45,
2125,1,2216,1865840,2215,0,2221,50,
2222,1,2316,1865896,2316,0,2327,42,
2327,1,2417,1866420,2416,0,2427,47,
2427,1,2518,1866420,2517,0,2529,49,
2530,1,2619,1866480,2618,0,2630,46,
2630,1,2719,1866452,2718,0,2731,50,
2732,1,2819,1867256,2818,0,2830,54,
2831,1,2920,1863524,2919,0,2932,52,
2932,1,3022,1863580,3020,0,3032,31,
3033,1,3125,1863632,3122,0,3138,24,
3141,1,3226,1863928,3224,0,3234,38,
3235,1,3326,1861392,3326,0,3369,92,
3369,1,3430,1863960,3428,0,3463,97,
3464,1,3533,1864744,3529,0,3578,100,
3579,1,3631,1865684,3630,0,3669,97,
3669,1,3732,1865664,3731,0,3743,96,
3743,1,3832,1866360,3831,0,3848,90,
3848,1,3932,1867596,3931,0,3943,90,
3944,1,4033,1867560,4032,0,4044,63,
4044,1,4133,1867616,4132,0,4145,41,
4146,1,4234,1867936,4233,0,4244,45,
4244,1,4334,1867888,4333,0,4344,38,
4345,1,4435,1868060,4434,0,4443,13,
4443,1,4537,1868116,4535,0,4545,1,
4545,1,4637,1868176,4636,0,4648,4,
4648,1,4739,1868176,4738,0,4748,6,
4748,1,4839,1868352,4838,0,4852,32,
4853,1,4942,1868332,4940,0,4947,32,
4947,1,5041,1866412,5040,0,5048,4,
5048,1,5143,1866468,5142,0,5150,3,
5151,1,5243,1866524,5242,0,5250,1,
5251,1,5344,1866676,5343,0,5354,3,
5354,1,5444,1866716,5443,0,5451,5,
5452,1,5545,1866896,5544,0,5553,4,
5553,1,5647,1866920,5644,0,5658,7,
5658,1,5746,1866964,5745,0,5751,23,
5751,1,5846,1867024,5845,0,5851,17,
5852,1,5949,1866452,5947,0,5958,15,
5958,1,6049,1866452,6048,0,6059,18,
6059,1,6151,1866452,6149,0,6165,17,
6166,1,6250,1866628,6249,0,6257,20,
6257,1,6350,1866204,6349,0,6355,13,
6356,1,6451,1866200,6450,0,6460,2,
6460,1,6552,1866260,6551,0,6562,4,
6562,1,6653,1866320,6652,0,6662,3,
6663,1,6753,1866380,6752,0,6758,3,
