App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 03:12:51 PM","38 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
16,0,3,1667612,0,0,16,2,
106,0,100,1668012,99,0,106,17,
211,0,202,1668460,200,0,211,6,
309,0,301,1669060,300,0,309,31,
407,0,402,1669352,401,0,406,34,
507,0,502,1669644,501,0,507,29,
608,0,603,1669884,602,0,607,27,
708,0,703,1670168,702,0,708,29,
767,0,756,1670224,754,0,767,29,
860,0,854,1670404,854,0,860,25,
961,0,957,1670088,954,0,961,38,
1060,0,1055,1670148,1054,0,1060,27,
1161,0,1156,1670544,1155,0,1160,27,
1263,0,1256,1671932,1255,0,1263,27,
1366,0,1356,1668588,1355,0,1366,41,
1413,1,1456,1674816,1456,0,1461,50,
1461,1,1557,1675560,1556,0,1561,18,
1562,1,1657,1675572,1657,0,1665,47,
1666,1,1758,1675744,1758,0,1765,48,
1765,1,1859,1675560,1858,0,1866,48,
1867,1,1959,1675740,1958,0,1968,50,
1969,1,2060,1675972,2059,0,2070,50,
2070,1,2161,1676084,2160,0,2172,43,
2172,1,2262,1676504,2261,0,2272,55,
2272,1,2362,1676304,2361,0,2371,52,
2372,1,2463,1676304,2462,0,2472,51,
2473,1,2563,1676652,2562,0,2573,47,
2573,1,2664,1676856,2663,0,2675,46,
2675,1,2767,1677600,2764,0,2775,50,
2775,1,2866,1674092,2865,0,2875,35,
2875,1,2968,1674092,2966,0,2977,23,
2977,1,3069,1674092,3067,0,3077,26,
3077,1,3168,1670820,3167,0,3178,43,
3178,1,3270,1672544,3269,0,3284,100,
3284,1,3373,1674500,3371,0,3380,89,
3381,1,3480,1675864,3478,0,3507,81,
3508,1,3580,1676492,3579,0,3594,77,
3595,1,3684,1678024,3681,0,3702,95,
3702,1,3787,1679136,3786,0,3821,91,
3821,1,3888,1679888,3886,0,3894,91,
3894,1,3987,1678364,3986,0,3993,52,
3993,1,4088,1678364,4087,0,4094,44,
4094,1,4188,1678704,4187,0,4194,48,
4194,1,4294,1678756,4293,0,4305,14,
4305,1,4392,1678756,4390,0,4399,7,
4399,1,4493,1678812,4492,0,4501,0,
4501,1,4597,1679176,4592,0,4614,6,
4614,1,4694,1679232,4693,0,4702,9,
4702,1,4794,1679232,4793,0,4802,3,
4802,1,4895,1679356,4894,0,4900,22,
4900,1,4996,1679356,4995,0,5004,5,
5005,1,5097,1679356,5095,0,5105,4,
5106,1,5198,1679356,5197,0,5206,3,
5206,1,5298,1678960,5297,0,5308,0,
5309,1,5401,1678528,5398,0,5408,12,
5408,1,5503,1678528,5499,0,5521,9,
5521,1,5602,1678228,5601,0,5607,40,
5608,1,5705,1678524,5703,0,5722,21,
5722,1,5806,1678648,5803,0,5821,27,
5822,1,5906,1678708,5904,0,5920,20,
5921,1,6005,1679108,6004,0,6012,42,
6012,1,6106,1679872,6105,0,6119,43,
6119,1,6207,1679880,6206,0,6214,35,
6214,1,6307,1680128,6306,0,6312,33,
6313,1,6408,1680252,6407,0,6413,31,
6413,1,6508,1680500,6507,0,6513,30,
6513,1,6609,1680624,6608,0,6614,31,
6614,1,6709,1680892,6708,0,6714,27,
6715,1,6810,1680892,6809,0,6816,25,
6816,1,6914,1680592,6910,0,6919,37,
6919,1,7011,1681640,7010,0,7016,25,
7016,1,7111,1683020,7110,0,7116,31,
7116,1,7212,1684260,7211,0,7217,27,
7217,1,7313,1682972,7311,0,7339,64,
7339,1,7413,1682824,7412,0,7421,55,
7421,1,7513,1682452,7512,0,7522,49,
7522,1,7617,1683568,7612,0,7627,50,
7627,1,7715,1685184,7713,0,7722,44,
7722,1,7815,1688904,7814,0,7821,48,
7821,1,7915,1692544,7914,0,7923,81,
7923,1,8016,1693652,8015,0,8022,66,
8022,1,8116,1702448,8115,0,8125,62,
8125,1,8220,1704412,8218,0,8238,95,
8239,1,8323,1706608,8322,0,8339,97,
8339,1,8421,1707972,8420,0,8426,97,
8427,1,8522,1707824,8521,0,8526,82,
8527,1,8622,1708732,8622,0,8634,80,
8634,1,8723,1710312,8722,0,8727,72,
8728,1,8823,1714384,8822,0,8829,88,
8829,1,8925,1716120,8924,0,8931,67,
8931,1,9026,1717236,9025,0,9042,68,
9042,1,9127,1721824,9126,0,9141,82,
9141,1,9227,1731496,9226,0,9240,72,
9241,1,9327,1731248,9327,0,9334,63,
9334,1,9428,1733480,9427,0,9437,61,
9437,1,9529,1735836,9528,0,9537,64,
9537,1,9629,1739272,9628,0,9639,67,
9639,1,9729,1741760,9728,0,9741,76,
9741,1,9831,1744488,9830,0,9839,44,
9839,1,9932,1750812,9929,0,9937,44,
9938,1,10031,1751804,10030,0,10040,43,
10040,1,10132,1752176,10131,0,10138,44,
10138,1,10233,1751432,10232,0,10240,46,
10242,1,10333,1749576,10332,0,10343,44,
10343,1,10434,1749688,10433,0,10440,39,
10441,1,10536,1739256,10533,0,10542,42,
10543,1,10636,1743016,10634,0,10648,45,
10648,1,10735,1743276,10734,0,10745,40,
10745,1,10836,1743524,10835,0,10845,44,
10845,1,10940,1740440,10939,0,10956,55,
10957,1,10988,1740688,10987,0,10994,60,
10994,1,11088,1741184,11087,0,11094,42,
11094,1,11189,1742300,11188,0,11194,39,
11194,1,11290,1742300,11289,0,11295,30,
11296,1,11390,1743172,11389,0,11396,40,
11396,1,11491,1745032,11490,0,11496,32,
11497,1,11592,1745156,11591,0,11599,27,
11600,1,11692,1745640,11691,0,11698,47,
11698,1,11793,1746136,11792,0,11798,37,
11798,1,11893,1746260,11892,0,11899,33,
11900,1,11994,1746508,11993,0,11999,30,
12000,1,12094,1746508,12093,0,12106,32,
12106,1,12195,1747128,12194,0,12202,56,
12202,1,12295,1747624,12294,0,12302,31,
12303,1,12395,1747624,12395,0,12402,36,
12402,1,12497,1748368,12496,0,12504,44,
12504,1,12597,1748368,12596,0,12608,30,
12608,1,12697,1748612,12696,0,12703,37,
12703,1,12798,1749852,12797,0,12805,32,
12806,1,12903,1750968,12899,0,12909,41,
12909,1,12998,1750868,12998,0,13004,27,
13004,1,13099,1751736,13098,0,13104,35,
13104,1,13200,1755768,13199,0,13206,65,
13206,1,13300,1760416,13300,0,13308,58,
13308,1,13451,1759588,13450,0,13467,78,
13467,1,13504,1762288,13503,0,13511,65,
13512,1,13605,1763032,13604,0,13611,79,
13611,1,13705,1756396,13705,0,13712,55,
13712,1,13807,1757224,13806,0,13813,8,
13814,1,13907,1757224,13906,0,13916,18,
13917,1,14008,1757348,14008,0,14013,9,
14013,1,14110,1757472,14109,0,14117,0,
14118,1,14212,1757472,14210,0,14224,3,
14225,1,14311,1757472,14310,0,14315,11,
14315,1,14412,1757596,14411,0,14418,5,
14419,1,14513,1757596,14512,0,14521,3,
14521,1,14614,1757596,14612,0,14632,1,
14632,1,14715,1757620,14713,0,14723,11,
14723,1,14815,1757620,14814,0,14821,3,
14822,1,14918,1752908,14916,0,14926,4,
14926,1,15021,1752908,15015,0,15037,4,
15038,1,15117,1747924,15116,0,15122,11,
15122,1,15218,1747924,15217,0,15225,3,
15225,1,15319,1747924,15318,0,15328,1,
15328,1,15420,1747924,15419,0,15426,6,
