App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 03:11:26 PM","38 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
14,0,1,1692468,0,0,14,1,
58,0,51,1690156,50,0,57,22,
160,0,153,1690376,151,0,159,8,
258,0,252,1690976,252,0,258,17,
358,0,353,1691860,352,0,358,27,
459,0,453,1692220,452,0,459,27,
558,0,554,1692444,553,0,558,32,
660,0,654,1692504,653,0,660,27,
759,0,755,1692744,754,0,759,31,
861,0,855,1693100,854,0,860,30,
961,0,956,1693284,955,0,961,32,
1061,0,1056,1693284,1055,0,1061,27,
1166,0,1157,1693656,1156,0,1166,25,
1267,0,1258,1694304,1257,0,1267,33,
1363,0,1358,1692780,1357,0,1363,43,
1432,1,1458,1693524,1457,0,1464,45,
1464,1,1559,1693808,1558,0,1564,14,
1565,1,1663,1694452,1662,0,1669,42,
1669,1,1761,1694572,1760,0,1769,45,
1770,1,1863,1694452,1861,0,1871,52,
1872,1,1964,1694472,1962,0,1970,51,
1971,1,2065,1694652,2063,0,2071,46,
2071,1,2166,1694764,2163,0,2171,44,
2171,1,2265,1694944,2264,0,2271,49,
2271,1,2365,1695244,2364,0,2372,47,
2373,1,2465,1695244,2464,0,2471,42,
2471,1,2566,1695436,2565,0,2573,47,
2573,1,2669,1695624,2665,0,2677,52,
2677,1,2766,1696120,2765,0,2771,52,
2771,1,2867,1692088,2866,0,2872,37,
2873,1,2968,1692088,2967,0,2974,28,
2975,1,3068,1692204,3067,0,3073,24,
3074,1,3170,1691996,3168,0,3184,33,
3184,1,3271,1690612,3268,0,3302,100,
3302,1,3370,1692712,3369,0,3381,79,
3382,1,3471,1694312,3469,0,3490,69,
3491,1,3572,1695400,3571,0,3589,83,
3590,1,3674,1697984,3673,0,3684,84,
3685,1,3780,1698508,3773,0,3799,83,
3799,1,3876,1699756,3874,0,3884,87,
3885,1,3976,1698316,3975,0,3985,58,
3985,1,4077,1698336,4075,0,4083,47,
4084,1,4177,1698456,4176,0,4184,46,
4184,1,4278,1698456,4277,0,4283,20,
4283,1,4379,1698456,4378,0,4386,10,
4386,1,4480,1698516,4479,0,4488,9,
4488,1,4581,1698632,4580,0,4588,3,
4589,1,4682,1698632,4681,0,4690,2,
4690,1,4786,1698816,4781,0,4811,7,
4811,1,4882,1698940,4881,0,4890,32,
4890,1,4983,1698940,4982,0,4993,6,
4994,1,5084,1698940,5083,0,5093,4,
5093,1,5184,1698940,5183,0,5193,6,
5194,1,5286,1698940,5284,0,5294,4,
5295,1,5387,1699064,5386,0,5395,4,
5395,1,5488,1698856,5486,0,5497,8,
5499,1,5587,1698588,5585,0,5591,17,
5592,1,5688,1698640,5687,0,5705,15,
5705,1,5788,1698640,5787,0,5797,26,
5797,1,5889,1698824,5888,0,5905,23,
5905,1,5990,1698948,5989,0,6004,25,
6005,1,6090,1699616,6089,0,6100,40,
6100,1,6190,1700236,6189,0,6195,40,
6196,1,6291,1700484,6290,0,6299,30,
6299,1,6392,1700992,6391,0,6398,37,
6398,1,6492,1701148,6491,0,6498,27,
6498,1,6593,1701212,6592,0,6598,29,
6598,1,6694,1701460,6693,0,6699,27,
6699,1,6794,1701832,6793,0,6799,27,
6799,1,6895,1701832,6894,0,6900,29,
6900,1,6995,1702204,6994,0,7001,27,
7001,1,7099,1703600,7095,0,7104,38,
7104,1,7196,1704716,7195,0,7200,33,
7200,1,7297,1706360,7295,0,7303,34,
7303,1,7398,1702200,7397,0,7410,83,
7410,1,7498,1702348,7497,0,7504,43,
7504,1,7598,1702596,7597,0,7603,47,
7603,1,7699,1703588,7698,0,7706,45,
7706,1,7799,1708032,7798,0,7806,60,
7806,1,7899,1708528,7898,0,7905,47,
7905,1,8000,1711832,7999,0,8007,78,
8007,1,8100,1713072,8099,0,8104,31,
8104,1,8201,1714436,8200,0,8207,31,
8207,1,8300,1713916,8300,0,8305,43,
8305,1,8401,1714912,8400,0,8414,34,
8414,1,8501,1715536,8500,0,8507,42,
8508,1,8603,1715720,8601,0,8609,36,
8609,1,8702,1716340,8701,0,8707,38,
8709,1,8802,1716668,8802,0,8808,55,
8808,1,8903,1718244,8902,0,8910,43,
8910,1,9004,1718244,9003,0,9011,11,
9011,1,9103,1718368,9103,0,9107,3,
9108,1,9204,1718368,9203,0,9211,5,
9211,1,9304,1718368,9303,0,9311,2,
9311,1,9404,1718088,9403,0,9409,12,
9410,1,9506,1718008,9505,0,9510,9,
9511,1,9605,1718020,9604,0,9610,8,
9610,1,9705,1718080,9704,0,9710,9,
9710,1,9806,1718132,9805,0,9810,0,
9810,1,9906,1718192,9905,0,9911,2,
9911,1,10006,1718252,10005,0,10011,2,
10012,1,10107,1717744,10106,0,10112,5,
10112,1,10206,1717744,10206,0,10211,5,
10211,1,10307,1717804,10306,0,10311,2,
10312,1,10409,1717860,10407,0,10415,7,
10416,1,10510,1717888,10508,0,10517,7,
10517,1,10610,1717436,10608,0,10619,6,
10620,1,10710,1717616,10709,0,10720,5,
10720,1,10811,1717784,10809,0,10826,9,
10826,1,10912,1717584,10911,0,10919,9,
10919,1,11012,1717644,11011,0,11019,5,
11019,1,11113,1717704,11112,0,11120,6,
11120,1,11214,1717704,11213,0,11220,3,
11221,1,11316,1717764,11313,0,11328,5,
11328,1,11416,1717764,11414,0,11423,6,
11423,1,11516,1717792,11515,0,11524,7,
11526,1,11619,1717508,11616,0,11624,14,
11624,1,11718,1717564,11717,0,11724,7,
11725,1,11819,1717620,11817,0,11825,5,
11826,1,11920,1717620,11918,0,11927,9,
11927,1,12020,1717680,12019,0,12028,4,
12028,1,12121,1717740,12119,0,12129,8,
12129,1,12222,1717800,12220,0,12231,3,
12231,1,12323,1717800,12321,0,12335,9,
12336,1,12424,1717660,12422,0,12430,9,
12431,1,12524,1717708,12523,0,12531,9,
12531,1,12625,1717320,12624,0,12631,8,
12631,1,12726,1717372,12725,0,12731,5,
12732,1,12827,1721668,12826,0,12833,26,
12833,1,12927,1724780,12926,0,12932,35,
12933,1,13028,1713556,13027,0,13043,21,
13043,1,13132,1713172,13128,0,13137,12,
13137,1,13229,1713228,13228,0,13235,5,
13235,1,13331,1713288,13330,0,13338,5,
13339,1,13432,1713340,13430,0,13438,7,
13438,1,13532,1713388,13531,0,13540,6,
13540,1,13633,1713808,13632,0,13637,22,
13637,1,13734,1713928,13733,0,13743,6,
13744,1,13835,1713888,13833,0,13845,10,
13845,1,13936,1713948,13934,0,13943,6,
13944,1,14036,1713948,14035,0,14044,3,
14044,1,14138,1714008,14137,0,14146,7,
14146,1,14238,1714068,14237,0,14245,6,
14246,1,14339,1714068,14338,0,14348,5,
14348,1,14440,1714120,14439,0,14448,3,
14449,1,14541,1713776,14539,0,14545,15,
14546,1,14643,1713776,14640,0,14656,4,
14656,1,14742,1713776,14741,0,14749,6,
14749,1,14843,1713832,14842,0,14850,7,
14850,1,14944,1713952,14942,0,14950,6,
14950,1,15045,1713952,15044,0,15051,4,
15052,1,15146,1714012,15145,0,15153,7,
15153,1,15247,1713920,15246,0,15253,10,
15254,1,15348,1713920,15347,0,15358,4,
15358,1,15449,1713976,15447,0,15455,6,
15456,1,15550,1714004,15548,0,15556,4,
15557,1,15650,1714144,15649,0,15655,14,
15655,1,15751,1714200,15750,0,15759,8,
15759,1,15852,1714024,15851,0,15861,4,
15861,1,15953,1713728,15952,0,15957,11,
15957,1,16054,1713728,16053,0,16062,8,
16062,1,16156,1713784,16154,0,16170,6,
16170,1,16256,1713784,16254,0,16263,6,
16264,1,16357,1713844,16355,0,16364,6,
16365,1,16457,1713900,16456,0,16464,7,
16465,1,16558,1713960,16557,0,16567,4,
16567,1,16659,1713876,16657,0,16666,12,
16666,1,16759,1713876,16758,0,16766,9,
16766,1,16809,1713936,16808,0,16813,8,
16814,1,16910,1713996,16909,0,16916,6,
16917,1,17011,1713996,17010,0,17017,4,
17017,1,17112,1714056,17110,0,17119,5,
17119,1,17213,1714116,17211,0,17221,7,
17222,1,17318,1713808,17312,0,17331,13,
17331,1,17414,1713808,17413,0,17420,6,
17421,1,17515,1713844,17514,0,17521,7,
17522,1,17615,1714008,17614,0,17621,18,
17622,1,17715,1714692,17714,0,17720,35,
17720,1,17817,1714960,17816,0,17821,11,
17821,1,17918,1715020,17917,0,17926,6,
17926,1,18019,1715020,18017,0,18039,6,
18040,1,18118,1715244,18117,0,18129,23,
18129,1,18219,1715600,18218,0,18224,27,
18225,1,18319,1715720,18318,0,18327,50,
18328,1,18419,1716712,18419,0,18425,62,
18425,1,18520,1717604,18519,0,18526,39,
18526,1,18620,1717728,18619,0,18626,50,
18627,1,18721,1718100,18720,0,18729,61,
18729,1,18821,1716796,18820,0,18826,52,
18827,1,18921,1717344,18920,0,18926,43,
18926,1,19022,1718096,19021,0,19035,61,
19035,1,19122,1722204,19121,0,19134,84,
19134,1,19227,1725112,19226,0,19238,78,
19238,1,19329,1728076,19328,0,19339,57,
19339,1,19430,1732132,19429,0,19441,33,
19441,1,19531,1733920,19530,0,19550,43,
19550,1,19635,1734308,19634,0,19648,39,
