App,Package,Start Time,Duration,Filename
"System",,"May 31, 2018 @ 03:45:16 PM","1 min 41 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
17,0,1,1755812,0,0,16,1,
61,0,51,1751996,50,0,60,38,
159,0,152,1752108,151,0,159,6,
261,0,253,1752536,251,0,261,7,
358,0,352,1753356,352,0,357,24,
459,0,453,1753836,453,0,458,29,
563,0,554,1754028,553,0,563,27,
659,0,654,1754064,653,0,659,30,
760,0,754,1754236,754,0,759,30,
863,0,856,1754440,855,0,863,27,
961,0,956,1754680,955,0,961,29,
1062,0,1056,1754792,1056,0,1062,30,
1163,0,1157,1754844,1156,0,1163,30,
1264,0,1258,1755756,1257,0,1263,25,
1372,0,1358,1756832,1357,0,1371,36,
1464,0,1459,1752596,1458,0,1464,55,
1570,0,1560,1752720,1559,0,1569,9,
1668,0,1660,1753608,1659,0,1668,39,
1671,1,1761,1753784,1760,0,1778,64,
1778,1,1861,1753892,1860,0,1868,65,
1868,1,1962,1754032,1961,0,1968,47,
1968,1,2063,1753988,2062,0,2074,48,
2074,1,2163,1753848,2162,0,2169,46,
2170,1,2264,1753580,2263,0,2270,46,
2270,1,2365,1753976,2364,0,2374,46,
2374,1,2465,1753684,2464,0,2474,54,
2474,1,2566,1753796,2565,0,2576,46,
2576,1,2667,1754028,2666,0,2675,49,
2676,1,2767,1754764,2766,0,2777,45,
2777,1,2867,1755984,2866,0,2877,50,
2877,1,2968,1752128,2967,0,2979,42,
2979,1,3069,1752180,3068,0,3081,33,
3081,1,3171,1752180,3169,0,3182,28,
3182,1,3276,1752340,3272,0,3287,27,
3288,1,3376,1752696,3375,0,3410,91,
3411,1,3478,1754464,3477,0,3512,97,
3513,1,3583,1754756,3582,0,3597,100,
3597,1,3684,1755440,3683,0,3701,97,
3701,1,3784,1755036,3783,0,3812,95,
3812,1,3884,1754064,3884,0,3898,100,
3898,1,3985,1755192,3984,0,4003,97,
4003,1,4088,1756056,4086,0,4097,97,
4097,1,4189,1754272,4187,0,4198,92,
4198,1,4292,1754724,4291,0,4299,66,
4300,1,4389,1755144,4388,0,4396,44,
4397,1,4494,1755060,4493,0,4498,35,
4499,1,4596,1754964,4594,0,4602,6,
4603,1,4696,1754964,4694,0,4702,4,
4703,1,4796,1754964,4795,0,4803,5,
4803,1,4897,1755148,4896,0,4905,3,
4905,1,4998,1755200,4997,0,5005,5,
5006,1,5098,1755504,5097,0,5106,19,
5106,1,5200,1755752,5198,0,5221,15,
5221,1,5302,1755440,5300,0,5307,18,
5308,1,5401,1755440,5400,0,5409,6,
5410,1,5501,1755440,5500,0,5509,3,
5509,1,5603,1753300,5601,0,5611,5,
5611,1,5703,1753360,5701,0,5711,4,
5711,1,5804,1753480,5803,0,5813,6,
5813,1,5904,1753736,5903,0,5910,17,
5911,1,6011,1753896,6004,0,6035,26,
6036,1,6107,1753868,6105,0,6120,20,
6120,1,6209,1753920,6206,0,6223,16,
6224,1,6308,1753972,6306,0,6323,17,
6323,1,6410,1754148,6407,0,6422,16,
6422,1,6510,1754200,6508,0,6520,9,
6520,1,6610,1754200,6609,0,6619,5,
