App,Package,Start Time,Duration,Filename
"System",,"Jun 1, 2018 @ 02:52:43 PM","1 min 30 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
16,0,1,1858684,0,0,16,2,
58,0,51,1855912,50,0,58,35,
160,0,152,1856144,151,0,159,8,
261,0,253,1856504,252,0,260,3,
358,0,353,1857340,352,0,358,22,
465,0,454,1857820,453,0,462,25,
560,0,554,1858092,553,0,560,34,
659,0,655,1858320,654,0,659,27,
760,0,755,1858604,754,0,760,29,
861,0,856,1858660,855,0,860,29,
961,0,956,1858616,955,0,961,27,
1062,0,1057,1858616,1056,0,1061,30,
1162,0,1157,1858616,1157,0,1162,30,
1265,0,1259,1859236,1257,0,1265,25,
1368,0,1362,1860128,1358,0,1368,37,
1473,0,1461,1859228,1459,0,1473,51,
1503,1,1561,1859228,1560,0,1567,28,
1567,1,1662,1859780,1660,0,1668,19,
1668,1,1763,1859932,1762,0,1769,49,
1769,1,1865,1860272,1864,0,1873,56,
1873,1,1967,1860460,1965,0,1973,49,
1973,1,2067,1860420,2065,0,2075,52,
2075,1,2168,1860652,2167,0,2174,49,
2175,1,2269,1860704,2269,0,2283,43,
2283,1,2369,1860704,2368,0,2375,52,
2375,1,2469,1860704,2468,0,2475,44,
2475,1,2569,1860704,2568,0,2575,48,
2575,1,2670,1860704,2668,0,2676,49,
2677,1,2770,1861160,2769,0,2775,53,
2775,1,2870,1861756,2869,0,2876,48,
2876,1,2971,1858460,2970,0,2979,45,
2979,1,3071,1858460,3070,0,3078,23,
3080,1,3172,1858516,3171,0,3178,23,
3179,1,3273,1858576,3272,0,3283,27,
3284,1,3382,1856520,3378,0,3415,89,
3415,1,3481,1857864,3479,0,3519,100,
3519,1,3580,1859532,3579,0,3589,95,
3590,1,3686,1861392,3681,0,3710,100,
3710,1,3784,1862528,3782,0,3809,100,
3809,1,3884,1863032,3883,0,3893,86,
3893,1,3985,1863180,3984,0,3992,65,
3992,1,4085,1864368,4084,0,4092,86,
4092,1,4186,1863288,4185,0,4192,71,
4192,1,4286,1863472,4285,0,4291,47,
4291,1,4387,1863472,4386,0,4393,20,
4393,1,4491,1863472,4490,0,4498,8,
4499,1,4593,1863472,4592,0,4601,5,
4601,1,4693,1863472,4692,0,4702,0,
4703,1,4794,1863472,4793,0,4801,6,
4802,1,4897,1863708,4894,0,4906,2,
4908,1,4995,1863916,4994,0,5003,9,
5004,1,5095,1863916,5095,0,5101,25,
5101,1,5198,1863916,5196,0,5209,6,
5209,1,5299,1863916,5298,0,5306,5,
5307,1,5400,1863916,5398,0,5410,3,
5411,1,5500,1863396,5498,0,5508,1,
5508,1,5601,1863552,5599,0,5614,4,
5615,1,5700,1863612,5699,0,5708,16,
5709,1,5802,1863668,5800,0,5811,13,
5812,1,5903,1863708,5902,0,5908,19,
5909,1,6002,1863708,6002,0,6007,14,
6008,1,6103,1863768,6103,0,6109,10,
6109,1,6205,1864500,6204,0,6216,28,
6217,1,6305,1865172,6304,0,6310,43,
6310,1,6406,1865296,6405,0,6415,30,
6415,1,6507,1865440,6505,0,6512,25,
6512,1,6607,1865440,6606,0,6612,30,
6612,1,6707,1865688,6707,0,6713,29,
6713,1,6808,1865812,6807,0,6813,29,
6813,1,6908,1866068,6907,0,6913,27,
6914,1,7009,1866192,7008,0,7014,27,
7014,1,7110,1866440,7109,0,7117,29,
7117,1,7211,1867432,7209,0,7219,30,
7219,1,7311,1868688,7310,0,7317,29,
7317,1,7413,1870052,7412,0,7420,30,
7420,1,7512,1867032,7510,0,7524,73,
7524,1,7613,1867652,7612,0,7623,51,
7624,1,7714,1867900,7713,0,7719,40,
7719,1,7815,1873372,7813,0,7821,32,
7821,1,7916,1873860,7914,0,7927,21,
7927,1,8015,1873344,8014,0,8020,23,
8020,1,8115,1873592,8114,0,8119,25,
8120,1,8216,1873592,8215,0,8221,6,
8221,1,8316,1873592,8315,0,8320,0,
8321,1,8416,1872960,8415,0,8421,2,
8421,1,8516,1872712,8516,0,8521,12,
8522,1,8616,1872532,8616,0,8624,19,
8624,1,8717,1872088,8716,0,8721,7,
8721,1,8817,1872088,8816,0,8822,2,
8822,1,8918,1871608,8917,0,8924,15,
8924,1,9018,1871660,9017,0,9022,6,
9022,1,9118,1870680,9117,0,9123,0,
9123,1,9218,1870680,9217,0,9223,0,
9223,1,9318,1870680,9317,0,9323,4,
9323,1,9419,1870800,9418,0,9425,4,
9426,1,9519,1869908,9518,0,9524,5,
9524,1,9619,1869908,9618,0,9624,2,
9624,1,9721,1869960,9720,0,9728,4,
9728,1,9820,1869960,9819,0,9824,2,
9824,1,9920,1870008,9919,0,9924,4,
9925,1,10020,1870020,10019,0,10025,5,
10025,1,10121,1870080,10120,0,10128,0,
10128,1,10222,1869716,10220,0,10226,9,
10226,1,10321,1869716,10320,0,10325,2,
10326,1,10421,1869956,10420,0,10425,9,
10426,1,10523,1869956,10522,0,10529,3,
10530,1,10624,1870016,10623,0,10630,3,
10630,1,10726,1870064,10724,0,10734,13,
10734,1,10825,1870064,10824,0,10830,30,
10830,1,10926,1870236,10924,0,10938,30,
10939,1,11025,1870328,11025,0,11030,33,
11030,1,11126,1870452,11125,0,11131,25,
11131,1,11227,1870576,11226,0,11231,29,
11232,1,11327,1870948,11326,0,11332,27,
11332,1,11428,1871072,11427,0,11433,27,
11434,1,11528,1871072,11528,0,11534,28,
11534,1,11629,1871072,11628,0,11635,31,
11635,1,11730,1872188,11728,0,11735,32,
11735,1,11831,1869084,11829,0,11842,19,
11844,1,11932,1868916,11930,0,11938,8,
11939,1,12032,1869036,12031,0,12037,9,
12037,1,12132,1869804,12132,0,12137,30,
12137,1,12233,1870052,12232,0,12237,25,
12238,1,12333,1870424,12332,0,12338,29,
12338,1,12434,1870424,12433,0,12441,30,
12442,1,12534,1870376,12534,0,12541,25,
12541,1,12635,1870436,12634,0,12640,32,
12640,1,12736,1870436,12735,0,12740,27,
12740,1,12836,1870560,12835,0,12842,27,
12843,1,12936,1871404,12936,0,12944,37,
12944,1,12987,1875408,12986,0,12993,78,
12993,1,13087,1881476,13086,0,13093,56,
13093,1,13190,1865268,13187,0,13197,32,
13198,1,13290,1865268,13289,0,13298,3,
13298,1,13390,1865508,13389,0,13395,20,
13396,1,13490,1866204,13489,0,13494,30,
13495,1,13591,1866436,13590,0,13596,29,
13596,1,13691,1866724,13690,0,13696,27,
13696,1,13792,1866936,13791,0,13797,27,
13797,1,13892,1867164,13891,0,13900,30,
13900,1,13992,1866904,13992,0,13997,43,
13998,1,14093,1867144,14092,0,14097,25,
14097,1,14194,1867264,14193,0,14199,29,
14199,1,14294,1867680,14293,0,14300,30,
14301,1,14396,1868176,14394,0,14401,23,
14402,1,14496,1864548,14495,0,14501,22,
14501,1,14597,1864600,14596,0,14606,3,
14607,1,14698,1864024,14697,0,14703,9,
14703,1,14798,1864848,14797,0,14803,25,
14803,1,14898,1865248,14898,0,14903,32,
14903,1,14999,1865292,14998,0,15004,26,
15004,1,15099,1865512,15099,0,15104,27,
15104,1,15200,1865848,15199,0,15204,29,
15205,1,15300,1865904,15299,0,15306,25,
15307,1,15401,1866424,15400,0,15409,30,
15409,1,15502,1866336,15501,0,15506,38,
15506,1,15602,1866336,15601,0,15608,29,
15608,1,15703,1867300,15702,0,15708,29,
15708,1,15804,1868488,15802,0,15811,26,
15811,1,15904,1864544,15903,0,15908,7,
15908,1,16005,1864436,16004,0,16013,8,
16013,1,16105,1865232,16104,0,16111,26,
16111,1,16206,1865208,16205,0,16211,30,
16211,1,16308,1865388,16306,0,16315,29,
16315,1,16407,1865660,16406,0,16411,25,
16412,1,16507,1865828,16506,0,16513,27,
16513,1,16607,1865940,16607,0,16613,32,
16613,1,16708,1866448,16707,0,16714,34,
16714,1,16809,1866504,16808,0,16814,25,
16814,1,16910,1866544,16908,0,16917,34,
16918,1,17010,1866512,17009,0,17015,27,
17015,1,17111,1867132,17110,0,17116,26,
17116,1,17211,1863628,17210,0,17217,18,
17217,1,17317,1863628,17314,0,17325,3,
17326,1,17414,1863800,17412,0,17421,8,
17421,1,17514,1864716,17513,0,17519,36,
17519,1,17614,1865060,17613,0,17621,27,
17621,1,17718,1864956,17714,0,17723,32,
17723,1,17815,1865188,17815,0,17820,31,
17820,1,17916,1865348,17915,0,17920,30,
17921,1,18016,1865500,18016,0,18021,27,
18021,1,18117,1865904,18116,0,18121,25,
18122,1,18218,1865904,18217,0,18222,27,
18223,1,18318,1866152,18317,0,18323,27,
18323,1,18424,1867268,18418,0,18444,34,
18445,1,18519,1867796,18518,0,18526,32,
18527,1,18620,1863852,18619,0,18627,10,
18627,1,18721,1864024,18720,0,18728,7,
18729,1,18821,1864700,18820,0,18826,28,
18827,1,18922,1864916,18921,0,18926,27,
18927,1,19023,1865116,19022,0,19028,27,
19028,1,19124,1865404,19122,0,19130,27,
19130,1,19225,1865368,19223,0,19232,35,
19232,1,19324,1865528,19323,0,19329,27,
19329,1,19425,1866004,19424,0,19429,33,
19430,1,19526,1866004,19525,0,19530,27,
19531,1,19626,1866004,19625,0,19631,25,
19631,1,19727,1866872,19726,0,19731,27,
19732,1,19827,1867616,19826,0,19833,26,
19834,1,19928,1863772,19927,0,19939,11,
19940,1,20029,1863784,20028,0,20037,12,
20037,1,20129,1864016,20129,0,20134,8,
20134,1,20229,1864828,20229,0,20234,27,
20234,1,20330,1864948,20329,0,20336,27,
20336,1,20431,1865304,20430,0,20437,31,
20437,1,20532,1865364,20531,0,20536,32,
20537,1,20632,1865596,20632,0,20638,25,
20638,1,20734,1865456,20733,0,20739,34,
20740,1,20833,1865816,20832,0,20838,25,
20838,1,20935,1865816,20933,0,20940,30,
20940,1,21035,1865916,21034,0,21039,27,
21040,1,21135,1866524,21135,0,21141,30,
21142,1,21236,1863712,21235,0,21241,24,
21241,1,21338,1863832,21336,0,21346,4,
21346,1,21438,1864248,21436,0,21458,31,
