App,Package,Start Time,Duration,Filename
"System",,"Mar 15, 2018 @ 02:08:43 PM","10 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",
0,1209600,3,1209600,4,1209600,5,1209600,
100,1209600,101,1209600,102,1209600,104,1209600,
150,1209600,153,1209600,154,1209600,156,1209600,
301,1209600,302,1209600,304,1209600,305,1209600,
402,1209600,403,1209600,404,1209600,405,1209600,
502,1209600,503,1209600,504,1209600,506,1209600,
602,1209600,603,1209600,608,1209600,609,1209600,
703,1209600,704,1209600,705,1209600,706,1209600,
803,1209600,804,1209600,805,1209600,806,1209600,
903,1209600,904,1209600,906,1209600,907,1209600,
1004,1209600,1005,1209600,1005,1209600,1006,1209600,
1104,1209600,1105,1209600,1106,1209600,1107,1209600,
1204,1209600,1205,1209600,1206,1209600,1207,1209600,
1255,1209600,1256,1209600,1257,1209600,1258,1209600,
1355,1209600,1356,1209600,1357,1209600,1357,1209600,
1457,1209600,1458,1209600,1459,1209600,1460,1209600,
1557,1209600,1558,1209600,1559,1209600,1559,1209600,
1657,1209600,1658,1209600,1659,1209600,1660,1209600,
1758,1209600,1758,1209600,1759,1209600,1760,1209600,
1858,1209600,1859,1209600,1859,1209600,1860,1209600,
1958,1209600,1959,1209600,1960,1209600,1961,1209600,
2059,1209600,2060,1209600,2061,1209600,2062,1209600,
2159,1209600,2160,1209600,2161,1209600,2162,1209600,
2259,1209600,2260,1209600,2261,1209600,2262,1209600,
2360,1209600,2361,1209600,2362,1209600,2362,1209600,
2460,1209600,2461,1209600,2462,1209600,2463,1209600,
2561,1209600,2562,1209600,2563,1209600,2563,1209600,
2661,1209600,2662,1209600,2663,1209600,2664,1209600,
2761,1209600,2762,1209600,2763,1209600,2764,1209600,
2862,1209600,2863,1209600,2863,1209600,2864,1209600,
2962,1209600,2963,1209600,2964,1209600,2965,1209600,
3063,1209600,3064,1209600,3065,1209600,3066,1209600,
3165,800000,3166,800000,3171,800000,3172,800000,
3265,800000,3266,800000,3267,800000,3269,800000,
3366,800000,3369,800000,3371,800000,3373,800000,
3466,800000,3471,800000,3473,800000,3474,800000,
3569,800000,3570,800000,3571,800000,3572,800000,
3670,1209600,3671,1209600,3672,1209600,3673,1209600,
3771,1209600,3772,1209600,3773,1209600,3773,1209600,
3873,1094400,3876,1094400,3878,1094400,3880,1094400,
3975,800000,3977,800000,3980,800000,3982,800000,
4076,800000,4077,800000,4078,800000,4079,800000,
4177,800000,4179,800000,4180,800000,4181,800000,
4278,800000,4280,800000,4281,800000,4282,800000,
4380,800000,4381,800000,4383,800000,4384,800000,
4480,800000,4481,800000,4482,800000,4483,800000,
4582,800000,4583,800000,4584,800000,4586,800000,
4682,800000,4684,800000,4685,800000,4686,800000,
4783,800000,4785,800000,4786,800000,4787,800000,
4886,800000,4888,800000,4891,800000,4892,800000,
4991,800000,4992,800000,4993,800000,4994,800000,
5092,800000,5093,800000,5094,800000,5095,800000,
5193,800000,5194,800000,5196,800000,5197,800000,
5294,800000,5295,800000,5296,800000,5297,800000,
5395,800000,5397,800000,5398,800000,5400,800000,
5497,800000,5498,800000,5499,800000,5500,998400,
5599,800000,5601,800000,5602,800000,5603,800000,
5699,1209600,5701,1209600,5701,1209600,5702,1209600,
5801,800000,5804,800000,5807,800000,5808,800000,
5901,800000,5905,800000,5906,800000,5910,800000,
6002,1209600,6003,1209600,6003,1209600,6004,1209600,
6102,1209600,6104,1209600,6105,1209600,6106,1209600,
6203,800000,6204,800000,6205,800000,6206,800000,
6304,800000,6305,800000,6306,800000,6307,800000,
6406,800000,6407,800000,6408,800000,6409,800000,
6507,800000,6508,800000,6509,800000,6510,800000,
6608,998400,6609,998400,6610,998400,6611,998400,
6708,1209600,6710,1209600,6710,1209600,6711,1209600,
6809,800000,6811,800000,6812,800000,6813,800000,
6911,800000,6912,800000,6913,800000,6914,800000,
7012,800000,7013,800000,7014,800000,7015,800000,
7113,800000,7114,800000,7115,800000,7117,800000,
7213,800000,7215,800000,7216,800000,7218,800000,
7314,800000,7316,800000,7317,800000,7319,800000,
7416,800000,7418,800000,7419,800000,7420,800000,
7517,1209600,7518,1209600,7519,1209600,7521,1209600,
7618,800000,7620,800000,7621,800000,7622,800000,
7722,998400,7723,998400,7724,998400,7725,998400,
