App,Package,Start Time,Duration,Filename
"System",,"Mar 16, 2018 @ 05:23:54 PM","3 min 58 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
24,0,11,1795908,0,0,24,1,
108,0,102,1793360,101,0,107,28,
160,0,153,1793360,152,0,159,4,
258,0,253,1794260,252,0,257,18,
359,0,353,1794444,352,0,359,27,
459,0,454,1794280,452,0,458,35,
560,0,554,1794304,553,0,560,27,
661,0,654,1794560,654,0,661,31,
765,0,755,1795056,754,0,764,51,
861,0,855,1795204,855,0,861,61,
962,0,957,1795780,956,0,962,58,
1063,0,1057,1795728,1056,0,1062,54,
1163,0,1158,1795904,1157,0,1163,50,
1265,0,1258,1796900,1257,0,1265,52,
1374,0,1360,1797168,1358,0,1374,34,
1472,0,1459,1794688,1458,0,1471,64,
1475,1,1560,1793704,1559,0,1565,34,
1566,1,1661,1793984,1660,0,1667,43,
1667,1,1761,1794212,1760,0,1768,38,
1769,1,1861,1794212,1861,0,1867,50,
1867,1,1962,1794284,1961,0,1969,45,
1969,1,2062,1794468,2061,0,2070,45,
2071,1,2163,1794220,2162,0,2174,40,
2175,1,2264,1794052,2263,0,2271,58,
2271,1,2364,1794288,2363,0,2371,51,
2372,1,2465,1794288,2464,0,2473,42,
2474,1,2566,1794412,2565,0,2576,50,
2576,1,2666,1795032,2665,0,2677,51,
2678,1,2767,1796024,2766,0,2778,48,
2778,1,2868,1792464,2867,0,2879,56,
2879,1,2970,1792464,2968,0,2984,27,
2984,1,3071,1792756,3069,0,3082,46,
3082,1,3172,1793296,3171,0,3190,53,
3190,1,3272,1794112,3271,0,3340,82,
3340,1,3371,1794576,3370,0,3380,97,
3380,1,3478,1794904,3477,0,3490,97,
3490,1,3578,1794508,3576,0,3588,92,
3589,1,3685,1792820,3677,0,3713,87,
3713,1,3778,1792876,3777,0,3788,69,
3788,1,3879,1792880,3878,0,3885,63,
3886,1,3980,1793004,3978,0,3989,64,
3989,1,4080,1793008,4079,0,4090,61,
4090,1,4180,1793008,4179,0,4189,59,
4189,1,4281,1793580,4280,0,4289,37,
4289,1,4381,1794928,4380,0,4391,35,
4391,1,4481,1795920,4480,0,4490,35,
4491,1,4582,1796752,4580,0,4594,29,
4594,1,4682,1793232,4681,0,4688,84,
4689,1,4782,1793444,4781,0,4790,57,
4790,1,4883,1793904,4882,0,4891,20,
4891,1,4984,1799180,4983,0,4995,35,
4995,1,5084,1796928,5083,0,5091,24,
5092,1,5185,1796984,5183,0,5194,11,
5194,1,5285,1796860,5283,0,5291,31,
5292,1,5385,1796912,5384,0,5392,12,
5392,1,5485,1796964,5484,0,5490,2,
5491,1,5586,1797016,5585,0,5590,6,
5591,1,5685,1797068,5685,0,5690,5,
5691,1,5786,1797120,5785,0,5791,0,
5791,1,5886,1797172,5885,0,5891,5,
5892,1,5987,1796248,5986,0,5992,2,
5993,1,6086,1796052,6086,0,6091,6,
6091,1,6188,1796104,6187,0,6194,2,
6195,1,6287,1796104,6286,0,6291,5,
6291,1,6387,1795792,6387,0,6392,5,
6392,1,6488,1793868,6487,0,6492,0,
6492,1,6588,1793868,6587,0,6592,2,
6593,1,6688,1793920,6687,0,6693,5,
6693,1,6788,1794256,6788,0,6794,20,
