App,Package,Start Time,Duration,Filename
"System",,"Mar 16, 2018 @ 05:30:00 PM","3 min 59 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
22,0,3,1799244,0,0,21,1,
112,0,103,1795468,101,0,111,41,
208,0,203,1795608,202,0,208,16,
309,0,304,1795808,303,0,309,18,
412,0,406,1796572,405,0,412,29,
511,0,504,1796812,504,0,511,27,
610,0,605,1796752,604,0,610,39,
715,0,707,1796700,705,0,715,27,
815,0,807,1797376,806,0,815,57,
913,0,908,1797756,907,0,913,56,
1013,0,1008,1798260,1007,0,1013,52,
1113,0,1108,1799004,1107,0,1113,57,
1215,0,1209,1799128,1208,0,1214,52,
1315,0,1310,1799748,1309,0,1315,46,
1427,0,1410,1801112,1409,0,1427,31,
1521,0,1512,1797300,1511,0,1521,57,
1537,1,1613,1797584,1612,0,1619,19,
1619,1,1715,1798164,1713,0,1727,40,
1727,1,1815,1798444,1813,0,1825,55,
1826,1,1918,1798680,1917,0,1929,54,
1930,1,2019,1798920,2018,0,2030,47,
2030,1,2120,1798980,2119,0,2133,46,
2133,1,2220,1798980,2219,0,2234,46,
2234,1,2323,1798960,2320,0,2332,56,
2332,1,2421,1799328,2420,0,2431,51,
2431,1,2526,1799328,2524,0,2533,47,
2533,1,2625,1799452,2624,0,2633,50,
2633,1,2727,1799596,2724,0,2733,48,
2733,1,2827,1800464,2825,0,2835,49,
2835,1,2928,1801332,2927,0,2935,50,
2935,1,3028,1797540,3025,0,3046,32,
3046,1,3128,1797424,3127,0,3135,43,
3136,1,3229,1798080,3228,0,3234,53,
3235,1,3329,1798188,3328,0,3341,67,
3341,1,3434,1799164,3432,0,3464,100,
3465,1,3536,1798580,3534,0,3568,100,
3568,1,3636,1799052,3635,0,3665,97,
3665,1,3736,1797368,3735,0,3760,95,
3761,1,3837,1796240,3836,0,3844,85,
3844,1,3937,1796592,3936,0,3945,65,
3945,1,4038,1796264,4036,0,4044,62,
4044,1,4139,1796620,4138,0,4144,61,
4145,1,4239,1796804,4238,0,4245,60,
4246,1,4339,1797052,4339,0,4344,40,
4344,1,4445,1798020,4442,0,4457,32,
4458,1,4540,1799208,4539,0,4545,38,
4545,1,4641,1800292,4640,0,4646,32,
4646,1,4744,1802240,4743,0,4753,66,
4753,1,4844,1798232,4843,0,4854,73,
4854,1,4945,1799232,4944,0,4953,60,
4954,1,5046,1803320,5045,0,5053,59,
5053,1,5147,1803816,5146,0,5153,44,
5153,1,5247,1804536,5246,0,5255,48,
5260,1,5348,1806668,5347,0,5352,55,
5352,1,5450,1814976,5448,0,5465,34,
5465,1,5549,1815844,5548,0,5554,40,
5554,1,5649,1816520,5648,0,5656,28,
5656,1,5749,1816720,5748,0,5754,34,
5754,1,5850,1817268,5849,0,5855,30,
5855,1,5950,1819128,5949,0,5956,32,
5957,1,6050,1822228,6049,0,6061,46,
6062,1,6151,1820328,6150,0,6157,48,
6157,1,6250,1821444,6250,0,6256,33,
6256,1,6351,1822188,6350,0,6358,27,
6358,1,6452,1823056,6451,0,6458,32,
6458,1,6551,1824296,6551,0,6558,30,
6558,1,6652,1825040,6651,0,6658,31,
6659,1,6756,1826128,6753,0,6763,32,
6763,1,6855,1826632,6854,0,6862,43,
6863,1,6957,1826880,6954,0,6964,72,
6964,1,7057,1827996,7056,0,7063,61,
7064,1,7157,1828864,7157,0,7164,70,
7164,1,7258,1832104,7257,0,7265,68,
7265,1,7358,1832476,7358,0,7363,41,
7363,1,7459,1832724,7458,0,7464,32,
7464,1,7560,1832972,7559,0,7565,27,
7565,1,7660,1833264,7659,0,7665,27,
7666,1,7760,1833572,7759,0,7765,32,
7765,1,7861,1834316,7860,0,7865,27,
7866,1,7961,1836052,7960,0,7968,28,
7969,1,8064,1831836,8063,0,8069,28,
8070,1,8164,1831836,8164,0,8169,12,
8169,1,8265,1831712,8264,0,8278,8,
8278,1,8367,1831712,8365,0,8375,5,
8376,1,8466,1830516,8465,0,8473,15,
8473,1,8568,1829624,8566,0,8576,12,
8576,1,8668,1829580,8667,0,8677,7,
8677,1,8769,1829476,8768,0,8777,6,
8777,1,8869,1828564,8868,0,8881,6,
8881,1,8970,1828332,8969,0,8978,10,
8978,1,9072,1828332,9070,0,9084,4,
9084,1,9172,1828384,9171,0,9183,7,
9183,1,9272,1826264,9271,0,9279,10,
9280,1,9373,1826064,9373,0,9378,10,
9378,1,9475,1826064,9474,0,9481,1,
9481,1,9575,1826116,9574,0,9582,5,
9582,1,9676,1826156,9675,0,9683,3,
9683,1,9776,1826224,9775,0,9783,6,
9783,1,9881,1826240,9879,0,9892,3,
9893,1,9977,1826292,9976,0,9985,8,
9985,1,10079,1826220,10078,0,10093,4,
10094,1,10180,1825808,10178,0,10184,13,
10184,1,10281,1825860,10279,0,10289,6,
10290,1,10381,1825072,10380,0,10390,2,
10390,1,10482,1825252,10481,0,10490,7,
10491,1,10583,1825432,10581,0,10596,3,
10596,1,10683,1825600,10682,0,10692,3,
10693,1,10784,1825432,10782,0,10793,3,
10793,1,10885,1825580,10884,0,10895,4,
10895,1,10984,1825508,10983,0,10989,21,
10989,1,11086,1825508,11085,0,11093,5,
