App,Package,Start Time,Duration,Filename
"System",,"Mar 16, 2018 @ 05:38:33 PM","8 min 52 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
21,0,3,1812520,0,0,20,1,
59,0,50,1808580,49,0,59,57,
160,0,151,1808784,149,0,160,12,
259,0,252,1809312,250,0,259,29,
356,0,351,1809812,351,0,356,28,
457,0,452,1810060,451,0,457,27,
561,0,554,1810308,552,0,560,27,
659,0,653,1810280,652,0,659,28,
760,0,753,1810588,752,0,760,65,
860,0,854,1810968,853,0,859,60,
960,0,954,1811464,953,0,959,55,
1061,0,1055,1811360,1054,0,1060,56,
1162,0,1156,1811424,1155,0,1162,50,
1262,0,1256,1812540,1255,0,1262,44,
1368,0,1357,1814160,1356,0,1368,25,
1462,0,1457,1809504,1456,0,1462,40,
1574,0,1559,1809504,1557,0,1574,5,
1667,0,1659,1810316,1658,0,1665,28,
1723,1,1761,1810348,1758,0,1770,84,
1770,1,1861,1810720,1859,0,1869,55,
1870,1,1961,1810844,1960,0,1970,53,
1970,1,2062,1811092,2061,0,2071,48,
2072,1,2162,1811216,2161,0,2172,45,
2172,1,2263,1811288,2261,0,2273,51,
2273,1,2363,1811412,2362,0,2372,46,
2372,1,2464,1811660,2463,0,2472,47,
2472,1,2564,1811660,2563,0,2572,48,
2572,1,2665,1811672,2664,0,2673,49,
2674,1,2765,1812412,2764,0,2774,48,
2776,1,2868,1812932,2867,0,2876,47,
2877,1,2969,1809284,2968,0,2978,43,
2979,1,3069,1809408,3068,0,3086,29,
3086,1,3169,1809948,3168,0,3185,50,
3185,1,3273,1810572,3269,0,3283,60,
3283,1,3372,1811448,3371,0,3388,77,
3388,1,3472,1811944,3470,0,3525,100,
3525,1,3577,1812508,3573,0,3604,100,
3604,1,3673,1808240,3672,0,3691,95,
3691,1,3773,1807272,3772,0,3786,69,
3786,1,3876,1807564,3872,0,3883,79,
3883,1,3975,1807696,3973,0,3982,69,
3982,1,4076,1807696,4074,0,4081,58,
4081,1,4176,1807696,4175,0,4183,61,
4183,1,4277,1807820,4276,0,4283,61,
4283,1,4375,1808388,4375,0,4382,59,
4383,1,4475,1809688,4474,0,4484,33,
4484,1,4576,1810432,4575,0,4584,37,
4584,1,4688,1812644,4678,0,4703,64,
4704,1,4780,1810036,4779,0,4787,83,
4788,1,4881,1810548,4880,0,4887,46,
4887,1,4983,1811912,4981,0,4988,36,
4989,1,5082,1812036,5081,0,5088,39,
5088,1,5182,1813004,5181,0,5189,36,
5189,1,5284,1811576,5283,0,5294,33,
5294,1,5383,1810868,5382,0,5399,28,
5399,1,5484,1816112,5483,0,5492,45,
5492,1,5583,1816112,5583,0,5588,20,
5589,1,5684,1816140,5683,0,5689,8,
5689,1,5784,1816016,5784,0,5790,6,
5791,1,5884,1815052,5884,0,5889,2,
5889,1,5985,1815112,5984,0,5990,5,
5990,1,6085,1815172,6084,0,6090,7,
6090,1,6186,1815172,6185,0,6191,2,
6191,1,6289,1814788,6285,0,6294,9,
6294,1,6386,1814912,6385,0,6391,4,
6391,1,6487,1814912,6486,0,6492,5,
6492,1,6587,1814964,6586,0,6591,0,
6592,1,6687,1815012,6686,0,6692,0,
6693,1,6787,1815040,6787,0,6792,4,
6792,1,6888,1816400,6887,0,6895,32,
6896,1,6988,1816648,6987,0,6993,39,
6994,1,7089,1816496,7088,0,7093,27,
7094,1,7189,1816920,7188,0,7193,27,
7194,1,7289,1817044,7289,0,7294,30,
7294,1,7389,1817292,7389,0,7394,25,
7394,1,7489,1817664,7488,0,7494,27,
7494,1,7590,1817664,7589,0,7595,30,
7595,1,7691,1817808,7690,0,7695,27,
7696,1,7791,1818192,7790,0,7799,27,
7800,1,7893,1819280,7891,0,7904,36,
7904,1,7993,1815976,7992,0,8000,31,
8000,1,8093,1816036,8092,0,8100,9,
8100,1,8194,1816036,8193,0,8200,5,
8201,1,8295,1816096,8294,0,8301,3,
8302,1,8396,1816096,8395,0,8402,3,
8403,1,8496,1814908,8495,0,8500,17,
8500,1,8597,1814968,8596,0,8610,2,
8610,1,8698,1814156,8697,0,8705,6,
8705,1,8798,1814156,8797,0,8805,1,
8805,1,8900,1814216,8898,0,8906,4,
8907,1,9000,1814276,8999,0,9008,3,
9009,1,9101,1814388,9100,0,9108,5,
9108,1,9203,1814388,9201,0,9210,4,
9211,1,9302,1814440,9301,0,9314,3,
9314,1,9404,1814492,9403,0,9419,1,
9420,1,9506,1814064,9503,0,9511,13,
9511,1,9606,1814064,9604,0,9612,2,
9612,1,9706,1814152,9705,0,9713,4,
9713,1,9807,1814152,9806,0,9814,1,
9814,1,9907,1814184,9906,0,9914,4,
9915,1,10008,1814244,10007,0,10016,4,
10016,1,10111,1814296,10110,0,10121,1,
10122,1,10210,1813936,10209,0,10218,6,
10219,1,10311,1813796,10310,0,10317,3,
10318,1,10412,1813012,10411,0,10419,3,
10419,1,10513,1813132,10512,0,10521,3,
10521,1,10614,1813312,10613,0,10620,0,
10621,1,10714,1813472,10713,0,10723,4,
10723,1,10816,1813480,10814,0,10823,4,
10824,1,10917,1813648,10915,0,10925,3,
10925,1,11018,1813868,11016,0,11027,4,
11028,1,11117,1813736,11116,0,11124,11,
11124,1,11220,1814112,11219,0,11225,23,
11225,1,11318,1814488,11317,0,11323,20,
11323,1,11420,1814488,11419,0,11426,3,
