App,Package,Start Time,Duration,Filename
"System",,"Mar 16, 2018 @ 05:51:58 PM","8 min 51 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
9,0,1,1649660,0,0,8,2,
109,0,102,1656164,100,0,109,19,
160,0,152,1656280,151,0,159,2,
260,0,252,1656908,252,0,259,27,
358,0,353,1657220,352,0,358,43,
459,0,454,1657244,453,0,459,25,
560,0,554,1657372,554,0,559,27,
662,0,657,1657560,656,0,662,29,
767,0,755,1657788,754,0,766,46,
861,0,855,1658584,854,0,860,73,
961,0,956,1658460,955,0,961,52,
1062,0,1057,1658580,1056,0,1062,56,
1166,0,1158,1658872,1157,0,1166,52,
1263,0,1258,1660584,1257,0,1263,53,
1369,0,1359,1660340,1358,0,1369,42,
1430,1,1460,1663940,1459,0,1465,53,
1466,1,1561,1664832,1560,0,1566,19,
1567,1,1661,1665248,1660,0,1666,62,
1667,1,1762,1665484,1761,0,1768,56,
1769,1,1862,1665724,1861,0,1871,56,
1872,1,1963,1665904,1962,0,1972,40,
1973,1,2064,1666144,2063,0,2078,49,
2078,1,2168,1665908,2164,0,2177,55,
2177,1,2265,1666088,2264,0,2275,43,
2276,1,2365,1666204,2365,0,2377,46,
2377,1,2469,1666324,2466,0,2479,48,
2480,1,2567,1666504,2566,0,2577,46,
2577,1,2669,1667284,2667,0,2679,45,
2679,1,2771,1668496,2768,0,2779,53,
2779,1,2872,1664696,2870,0,2884,39,
2884,1,2972,1664436,2970,0,2981,35,
2982,1,3073,1664472,3071,0,3081,50,
3082,1,3173,1665092,3172,0,3198,53,
3198,1,3274,1666208,3273,0,3288,88,
3288,1,3381,1667080,3377,0,3394,100,
3394,1,3479,1667444,3478,0,3507,97,
3507,1,3583,1665004,3580,0,3599,97,
3599,1,3681,1665676,3680,0,3687,95,
3688,1,3781,1665664,3780,0,3791,66,
3791,1,3881,1665844,3881,0,3888,65,
3889,1,3982,1666128,3981,0,3989,64,
3989,1,4082,1666060,4081,0,4090,70,
4090,1,4183,1666316,4182,0,4191,47,
4191,1,4283,1667492,4282,0,4290,39,
4290,1,4383,1668020,4383,0,4388,32,
4388,1,4484,1669084,4483,0,4491,30,
4492,1,4586,1670820,4583,0,4603,51,
4603,1,4688,1666804,4684,0,4698,76,
4699,1,4789,1667448,4788,0,4798,70,
4798,1,4885,1672112,4884,0,4894,56,
4894,1,4987,1670892,4986,0,4995,48,
4996,1,5088,1672476,5086,0,5098,58,
5099,1,5189,1675616,5187,0,5193,51,
5194,1,5288,1682560,5287,0,5294,42,
5294,1,5388,1683056,5387,0,5394,41,
5394,1,5489,1683552,5488,0,5494,31,
5494,1,5589,1684048,5588,0,5594,25,
5595,1,5690,1685708,5689,0,5696,33,
5696,1,5790,1687072,5789,0,5798,37,
5798,1,5890,1687800,5889,0,5896,54,
5896,1,5990,1688048,5990,0,5995,35,
5995,1,6091,1688756,6090,0,6096,27,
6096,1,6191,1689040,6190,0,6196,30,
6197,1,6292,1690032,6291,0,6298,32,
6298,1,6392,1690940,6391,0,6397,31,
6398,1,6492,1691684,6492,0,6498,32,
6499,1,6593,1692428,6592,0,6600,33,
6601,1,6693,1693420,6692,0,6700,46,
6700,1,6794,1694376,6793,0,6813,79,
6813,1,6894,1695120,6893,0,6901,70,
