App,Package,Start Time,Duration,Filename
"System",,"Mar 16, 2018 @ 05:06:25 PM","6 min 6 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
11,0,1,1821928,0,0,11,0,
107,0,101,1817984,100,0,107,18,
158,0,152,1818108,151,0,157,4,
259,0,253,1818480,251,0,259,18,
357,0,352,1818852,351,0,357,26,
458,0,452,1819100,452,0,457,29,
558,0,553,1819596,552,0,558,25,
660,0,653,1819976,652,0,660,51,
758,0,753,1821112,752,0,758,84,
859,0,853,1821732,853,0,858,52,
959,0,954,1822848,953,0,959,52,
1061,0,1054,1823468,1053,0,1061,57,
1163,0,1155,1823964,1154,0,1162,52,
1260,0,1255,1825716,1254,0,1260,35,
1373,0,1357,1822276,1356,0,1373,37,
1432,1,1458,1821720,1457,0,1462,59,
1462,1,1558,1821484,1557,0,1563,16,
1563,1,1658,1821484,1657,0,1664,46,
1664,1,1760,1821664,1759,0,1766,47,
1768,1,1860,1821844,1859,0,1866,51,
1866,1,1962,1821856,1961,0,1970,44,
1970,1,2061,1822104,2060,0,2067,44,
2067,1,2163,1822104,2161,0,2168,47,
2169,1,2263,1822004,2262,0,2269,55,
2269,1,2363,1822244,2362,0,2370,48,
2370,1,2464,1822244,2463,0,2471,50,
2471,1,2564,1822244,2563,0,2573,45,
2574,1,2665,1822740,2664,0,2675,51,
2676,1,2765,1823820,2764,0,2777,47,
2777,1,2866,1823844,2865,0,2878,46,
2879,1,2967,1821144,2966,0,2980,38,
2980,1,3067,1820336,3066,0,3078,45,
3078,1,3169,1822888,3167,0,3178,76,
3178,1,3269,1825120,3268,0,3283,85,
3283,1,3371,1827208,3369,0,3388,100,
3388,1,3477,1819676,3475,0,3499,86,
3499,1,3577,1820244,3576,0,3604,93,
3604,1,3683,1821504,3678,0,3708,95,
3708,1,3779,1819896,3778,0,3791,94,
3791,1,3880,1820728,3879,0,3890,72,
3890,1,3980,1820800,3979,0,3987,71,
3988,1,4080,1820924,4080,0,4088,67,
4089,1,4181,1821172,4180,0,4188,63,
4188,1,4282,1821172,4281,0,4289,53,
4290,1,4382,1821420,4381,0,4388,34,
4388,1,4484,1822892,4482,0,4491,32,
4491,1,4584,1824380,4583,0,4590,28,
4590,1,4688,1825328,4685,0,4696,37,
4696,1,4787,1824712,4786,0,4798,77,
4798,1,4887,1823076,4886,0,4894,47,
4895,1,4988,1823076,4986,0,4997,39,
4997,1,5088,1829568,5087,0,5097,42,
5097,1,5189,1829756,5187,0,5196,18,
5196,1,5288,1829488,5287,0,5293,40,
5294,1,5388,1829488,5388,0,5394,8,
5394,1,5489,1829312,5488,0,5494,5,
5494,1,5590,1828276,5589,0,5595,11,
5595,1,5689,1828312,5689,0,5695,5,
5695,1,5791,1828464,5790,0,5799,4,
5799,1,5890,1828536,5889,0,5895,2,
5895,1,5990,1828720,5990,0,5996,8,
5996,1,6091,1828472,6090,0,6096,9,
6096,1,6192,1828368,6190,0,6197,10,
6197,1,6291,1828428,6290,0,6295,4,
6295,1,6391,1828428,6391,0,6396,3,
6396,1,6492,1828428,6491,0,6496,2,
6496,1,6592,1828552,6591,0,6596,0,
6597,1,6692,1828552,6691,0,6697,7,
6697,1,6792,1828544,6792,0,6797,4,
6797,1,6896,1828792,6892,0,6906,2,
6906,1,6993,1829436,6992,0,6998,27,
6998,1,7094,1828316,7093,0,7100,27,
7100,1,7193,1828564,7193,0,7200,32,
7201,1,7294,1828564,7293,0,7299,25,
7299,1,7394,1828564,7393,0,7399,30,
