App,Package,Start Time,Duration,Filename
"System",,"Mar 16, 2018 @ 05:15:42 PM","6 min 6 sec","trepnTemp.db"

Time  [ms],"Screen State",Time  [ms],"Memory Usage [KB]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",
9,0,1,1770968,0,0,8,2,
58,0,52,1768292,51,0,57,47,
159,0,152,1768352,151,0,159,4,
257,0,252,1768992,251,0,257,17,
358,0,352,1769280,352,0,357,31,
458,0,453,1769488,452,0,458,35,
558,0,553,1769560,552,0,558,27,
658,0,653,1769688,652,0,658,25,
761,0,754,1769756,753,0,760,34,
859,0,854,1770988,853,0,859,61,
960,0,954,1770824,953,0,959,58,
1060,0,1055,1770824,1054,0,1060,52,
1161,0,1155,1771320,1154,0,1160,57,
1262,0,1256,1772260,1255,0,1262,53,
1367,0,1355,1768876,1354,0,1367,60,
1395,1,1456,1776664,1455,0,1462,72,
1462,1,1556,1768612,1555,0,1562,52,
1562,1,1657,1768788,1656,0,1662,49,
1662,1,1758,1769020,1757,0,1765,45,
1766,1,1858,1769312,1857,0,1864,50,
1864,1,1959,1769332,1958,0,1966,43,
1966,1,2059,1769564,2058,0,2066,50,
2066,1,2160,1769624,2158,0,2173,46,
2173,1,2259,1769500,2258,0,2265,58,
2265,1,2359,1769556,2359,0,2365,48,
2365,1,2461,1769676,2460,0,2466,48,
2466,1,2561,1769912,2560,0,2566,46,
2567,1,2662,1770756,2661,0,2675,44,
2676,1,2762,1770756,2761,0,2767,49,
2767,1,2862,1767452,2862,0,2874,36,
2874,1,2963,1767600,2962,0,2989,30,
2989,1,3063,1767992,3063,0,3074,61,
3074,1,3164,1768212,3163,0,3173,62,
3174,1,3265,1769812,3264,0,3280,73,
3286,1,3369,1769988,3368,0,3381,97,
3381,1,3473,1770132,3472,0,3498,100,
3498,1,3574,1770568,3573,0,3586,97,
3588,1,3675,1769404,3674,0,3681,83,
3681,1,3775,1769580,3774,0,3780,63,
3780,1,3879,1769824,3878,0,3886,68,
3886,1,3976,1769560,3975,0,3981,62,
3981,1,4076,1769560,4075,0,4081,65,
4081,1,4177,1769508,4176,0,4181,33,
4182,1,4277,1770128,4276,0,4283,27,
4283,1,4377,1771624,4376,0,4383,38,
4383,1,4479,1772576,4478,0,4484,35,
4485,1,4586,1772980,4586,0,4610,68,
4611,1,4687,1772952,4686,0,4695,68,
4695,1,4789,1774404,4787,0,4796,47,
4796,1,4889,1774380,4887,0,4895,32,
4896,1,4990,1773148,4989,0,4996,36,
4996,1,5091,1773984,5090,0,5096,38,
5096,1,5191,1774624,5190,0,5203,46,
5203,1,5293,1775560,5291,0,5302,54,
5302,1,5392,1779032,5391,0,5404,53,
5404,1,5492,1779776,5491,0,5498,42,
5498,1,5593,1778820,5591,0,5600,48,
5601,1,5694,1779608,5693,0,5699,26,
5700,1,5794,1782460,5793,0,5800,52,
5800,1,5894,1781652,5894,0,5900,42,
5901,1,5994,1783156,5994,0,6000,32,
6000,1,6095,1784396,6094,0,6101,32,
6101,1,6195,1785520,6194,0,6200,35,
6201,1,6296,1786388,6295,0,6303,32,
6303,1,6396,1787204,6395,0,6404,41,
6404,1,6498,1788096,6497,0,6504,68,
